"lsoa11cd","date","lsoa11nm","Rural Urban","Adult Lifestage: All categories: Adult lifestage; measures: Value","Adult Lifestage: Age 16 to 24: Total; measures: Value","Adult Lifestage: Age 16 to 24: No dependent children in household; measures: Value","Adult Lifestage: Age 16 to 24: Dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Total; measures: Value","Adult Lifestage: Age 25 to 34: No dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 35 to 54: Total; measures: Value","Adult Lifestage: Age 35 to 54: No dependent children in household; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 55 to 64: Total; measures: Value","Adult Lifestage: Age 55 to 64: One person household; measures: Value","Adult Lifestage: Age 55 to 64: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 55 to 64: Dependent children in household; measures: Value","Adult Lifestage: Age 65 to 74: Total; measures: Value","Adult Lifestage: Age 65 to 74: One person household; measures: Value","Adult Lifestage: Age 65 to 74: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 65 to 74: Dependent children in household; measures: Value","Adult Lifestage: Age 75 and over: Total; measures: Value","Adult Lifestage: Age 75 and over: One person household; measures: Value","Adult Lifestage: Age 75 and over: Two or more person household; measures: Value"
"E01006682",2011,"Liverpool 053C","Total",1068,146,77,69,91,49,35,4,1,2,371,131,60,70,88,22,217,18,188,11,138,19,114,5,105,39,66
"E01006683",2011,"Liverpool 053D","Total",1251,176,79,97,114,74,31,2,6,1,471,190,75,80,92,34,212,22,167,23,142,20,116,6,136,60,76
"E01006684",2011,"Liverpool 056B","Total",1771,177,83,94,356,260,73,11,3,9,652,335,98,100,78,41,269,43,203,23,173,47,121,5,144,59,85
"E01006685",2011,"Liverpool 056C","Total",1206,168,102,66,141,99,25,12,0,5,386,177,54,74,47,34,245,34,193,18,160,34,123,3,106,54,52
"E01006686",2011,"Liverpool 053E","Total",1192,212,120,92,102,70,27,1,2,2,397,165,52,95,55,30,209,20,168,21,137,25,102,10,135,52,83
"E01006687",2011,"Liverpool 056D","Total",1613,163,102,61,348,248,92,6,2,0,502,253,89,70,58,32,265,58,190,17,155,52,101,2,180,97,83
"E01006688",2011,"Liverpool 056E","Total",1282,151,88,63,257,187,58,10,2,0,426,232,55,76,38,25,189,42,134,13,147,32,112,3,112,52,60
"E01006689",2011,"Liverpool 049D","Total",1365,166,84,82,202,151,39,9,1,2,525,233,89,99,73,31,184,38,131,15,138,38,97,3,150,60,90
"E01006690",2011,"Liverpool 028A","Total",1262,260,197,63,312,233,64,11,3,1,406,295,33,30,34,14,139,44,88,7,91,36,48,7,54,21,33
"E01006691",2011,"Liverpool 030A","Total",1148,224,144,80,334,201,99,30,0,4,330,192,47,44,28,19,115,40,62,13,92,32,53,7,53,27,26
"E01006692",2011,"Liverpool 028B","Total",1748,327,185,142,397,240,122,28,7,0,556,304,72,74,80,26,218,88,107,23,146,47,93,6,104,47,57
"E01006693",2011,"Liverpool 024D","Total",1334,143,65,78,172,119,26,16,9,2,398,261,29,30,55,23,243,92,126,25,231,98,127,6,147,84,63
"E01006694",2011,"Liverpool 030B","Total",1481,285,174,111,372,220,113,27,12,0,491,300,71,45,56,19,152,56,82,14,92,28,59,5,89,37,52
"E01006695",2011,"Liverpool 028C","Total",1543,323,220,103,425,324,66,24,8,3,532,366,34,47,64,21,144,71,59,14,67,32,31,4,52,26,26
"E01006696",2011,"Liverpool 030C","Total",1372,253,156,97,273,163,76,19,12,3,459,219,73,82,53,32,207,61,136,10,94,41,49,4,86,37,49
"E01006697",2011,"Liverpool 030D","Total",1455,308,182,126,346,199,107,32,6,2,445,262,62,59,34,28,158,51,87,20,106,33,72,1,92,35,57
"E01006698",2011,"Liverpool 012D","Total",1324,224,93,131,280,148,98,23,8,3,428,215,54,71,50,38,191,42,129,20,121,37,82,2,80,33,47
"E01006699",2011,"Liverpool 014A","Total",1262,217,82,135,256,139,69,38,5,5,405,251,22,52,44,36,181,52,117,12,114,37,71,6,89,41,48
"E01006700",2011,"Liverpool 012E","Total",1149,190,87,103,216,126,67,17,3,3,383,206,36,50,67,24,185,53,115,17,105,27,76,2,70,34,36
"E01006701",2011,"Liverpool 014B","Total",1174,180,100,80,187,108,62,10,5,2,377,250,25,34,49,19,235,53,164,18,132,52,77,3,63,28,35
"E01006702",2011,"Liverpool 014C","Total",1265,225,118,107,220,117,73,23,7,0,393,222,44,46,60,21,209,48,143,18,120,42,75,3,98,42,56
"E01006703",2011,"Liverpool 014D","Total",1285,174,78,96,219,147,46,16,5,5,423,274,26,56,38,29,235,91,133,11,145,65,77,3,89,49,40
"E01006705",2011,"Liverpool 009E","Total",1157,200,116,84,251,152,70,24,2,3,404,251,45,35,48,25,149,37,108,4,102,30,68,4,51,27,24
"E01006706",2011,"Liverpool 045A","Total",1086,187,80,107,126,54,42,18,11,1,375,197,26,54,72,26,154,49,96,9,168,46,113,9,76,31,45
"E01006707",2011,"Liverpool 045B","Total",1038,144,53,91,128,52,46,24,6,0,337,185,33,45,47,27,162,26,120,16,162,48,108,6,105,41,64
"E01006708",2011,"Liverpool 045C","Total",1386,199,87,112,236,117,90,25,3,1,522,272,54,89,83,24,161,41,101,19,133,48,81,4,135,48,87
"E01006709",2011,"Liverpool 040A","Total",1211,167,70,97,217,120,64,23,7,3,395,241,34,37,54,29,172,40,122,10,113,42,67,4,147,76,71
"E01006710",2011,"Liverpool 045D","Total",1185,215,89,126,179,92,58,21,6,2,389,196,34,53,75,31,204,24,164,16,147,47,96,4,51,20,31
"E01006711",2011,"Liverpool 027A","Total",1187,194,85,109,199,98,72,21,4,4,449,234,57,75,60,23,146,46,80,20,112,38,71,3,87,45,42
"E01006712",2011,"Liverpool 029D","Total",1009,134,56,78,225,114,87,14,5,5,345,170,51,52,51,21,135,33,83,19,104,32,63,9,66,36,30
"E01006713",2011,"Liverpool 029E","Total",1112,143,57,86,208,99,85,15,7,2,390,211,38,72,39,30,147,30,105,12,105,43,60,2,119,52,67
"E01006716",2011,"Liverpool 032E","Total",1128,159,75,84,274,141,97,27,4,5,404,233,52,56,45,18,142,50,86,6,80,32,42,6,69,39,30
"E01006717",2011,"Liverpool 027D","Total",1173,184,71,113,149,97,35,10,5,2,470,224,50,82,77,37,161,25,128,8,93,21,68,4,116,46,70
"E01006718",2011,"Liverpool 027E","Total",1294,183,78,105,207,134,54,13,6,0,473,233,52,74,78,36,200,64,118,18,142,45,95,2,89,41,48
"E01006719",2011,"Liverpool 027F","Total",1209,192,73,119,221,125,79,14,3,0,429,195,55,75,72,32,169,35,115,19,98,26,68,4,100,43,57
"E01006720",2011,"Liverpool 035A","Total",1663,517,407,110,497,307,135,48,4,3,408,222,68,54,42,22,115,47,61,7,67,34,27,6,59,39,20
"E01006721",2011,"Liverpool 038C","Total",1376,354,250,104,360,260,68,23,7,2,353,221,29,34,43,26,110,56,44,10,88,55,28,5,111,81,30
"E01006722",2011,"Liverpool 038D","Total",1591,882,821,61,307,243,47,7,6,4,217,107,46,18,35,11,78,16,47,15,57,28,24,5,50,28,22
"E01006723",2011,"Liverpool 038E","Total",1688,791,738,53,327,255,51,15,6,0,290,189,30,27,36,8,124,48,65,11,95,29,55,11,61,34,27
"E01006724",2011,"Liverpool 038F","Total",1664,991,931,60,235,198,25,3,5,4,204,108,33,21,23,19,100,15,70,15,73,14,56,3,61,22,39
"E01006725",2011,"Liverpool 035B","Total",1284,244,166,78,323,207,81,28,7,0,358,215,39,27,52,25,161,51,98,12,113,41,66,6,85,43,42
"E01006726",2011,"Liverpool 035C","Total",1325,453,389,64,302,232,51,15,3,1,334,204,34,43,35,18,114,27,74,13,59,17,38,4,63,33,30
"E01006727",2011,"Liverpool 035D","Total",1212,222,149,73,309,222,61,17,5,4,363,221,44,35,51,12,161,41,105,15,99,38,57,4,58,25,33
"E01006728",2011,"Liverpool 035E","Total",1325,286,199,87,334,209,79,37,7,2,397,258,38,25,59,17,122,63,51,8,88,40,44,4,98,63,35
"E01006729",2011,"Liverpool 008C","Total",1018,183,60,123,196,68,79,42,3,4,337,162,43,57,49,26,123,14,93,16,84,24,56,4,95,50,45
"E01006730",2011,"Liverpool 011C","Total",1045,190,70,120,146,81,39,21,4,1,359,157,31,60,72,39,141,29,94,18,104,38,61,5,105,52,53
"E01006731",2011,"Liverpool 011D","Total",940,158,66,92,167,64,51,31,14,7,294,151,29,43,55,16,153,26,109,18,87,26,53,8,81,35,46
"E01006732",2011,"Liverpool 011E","Total",1177,211,74,137,242,85,101,42,14,0,381,193,58,45,58,27,134,22,94,18,115,33,74,8,94,36,58
"E01006734",2011,"Liverpool 005C","Total",1058,168,69,99,228,88,81,48,9,2,335,179,32,48,39,37,139,29,95,15,98,38,56,4,90,41,49
"E01006735",2011,"Liverpool 005D","Total",1030,158,54,104,184,81,63,25,12,3,347,180,42,48,45,32,155,42,95,18,104,32,65,7,82,39,43
"E01006736",2011,"Liverpool 005E","Total",1167,222,85,137,179,97,54,18,5,5,430,221,45,56,69,39,145,23,101,21,97,26,65,6,94,31,63
"E01006737",2011,"Liverpool 005F","Total",1152,230,94,136,165,70,61,26,7,1,399,204,26,63,83,23,147,31,100,16,107,26,74,7,104,36,68
"E01006738",2011,"Liverpool 058A","Total",1183,189,79,110,217,98,84,28,2,5,391,215,41,58,47,30,155,38,98,19,126,42,79,5,105,55,50
"E01006739",2011,"Liverpool 058B","Total",1311,248,91,157,223,74,94,36,17,2,458,207,63,66,94,28,181,52,120,9,106,42,58,6,95,49,46
"E01006740",2011,"Liverpool 057A","Total",1018,169,73,96,232,160,43,20,6,3,312,161,32,57,41,21,133,49,69,15,97,37,59,1,75,46,29
"E01006741",2011,"Liverpool 058C","Total",1470,274,125,149,208,99,61,37,8,3,540,292,53,82,71,42,179,44,123,12,134,44,87,3,135,61,74
"E01006742",2011,"Liverpool 057B","Total",1152,173,83,90,204,105,70,19,5,5,402,224,56,40,51,31,158,32,100,26,119,34,81,4,96,41,55
"E01006743",2011,"Liverpool 058D","Total",1727,271,140,131,415,250,109,46,6,4,645,341,91,86,87,40,173,35,123,15,115,37,75,3,108,62,46
"E01006744",2011,"Liverpool 057C","Total",1209,143,80,63,294,202,76,15,1,0,445,261,65,52,46,21,137,50,74,13,106,39,66,1,84,42,42
"E01006745",2011,"Liverpool 057D","Total",1495,239,112,127,426,290,97,31,6,2,493,298,34,66,67,28,158,52,88,18,90,32,58,0,89,33,56
"E01006746",2011,"Liverpool 030E","Total",1310,389,303,86,181,122,33,15,11,0,340,198,39,35,37,31,134,37,85,12,159,36,118,5,107,52,55
"E01006747",2011,"Liverpool 031B","Total",1525,672,628,44,312,246,50,11,2,3,290,190,33,24,31,12,119,53,63,3,77,38,33,6,55,31,24
"E01006748",2011,"Liverpool 031C","Total",1768,924,867,57,302,246,39,7,8,2,263,164,28,28,28,15,127,36,76,15,85,37,45,3,67,38,29
"E01006751",2011,"Liverpool 031F","Total",1685,546,404,142,312,184,97,20,6,5,382,192,55,66,48,21,175,60,86,29,172,66,89,17,98,52,46
"E01006752",2011,"Liverpool 035F","Total",839,166,107,59,184,129,41,12,2,0,267,151,29,38,32,17,111,37,63,11,73,34,35,4,38,20,18
"E01006753",2011,"Liverpool 059A","Total",1184,223,89,134,217,84,87,35,8,3,389,204,46,46,58,35,147,42,93,12,114,41,71,2,94,34,60
"E01006754",2011,"Liverpool 059B","Total",1317,206,85,121,252,123,87,30,11,1,391,228,35,37,66,25,229,95,120,14,121,46,65,10,118,64,54
"E01006755",2011,"Liverpool 059C","Total",1166,209,94,115,273,125,79,51,17,1,365,208,44,46,45,22,159,41,96,22,70,26,38,6,90,50,40
"E01006756",2011,"Liverpool 059D","Total",1348,245,96,149,291,110,122,40,14,5,441,218,49,70,71,33,176,49,108,19,83,26,53,4,112,40,72
"E01006757",2011,"Liverpool 059E","Total",1095,209,76,133,228,87,94,31,15,1,348,177,45,37,61,28,147,29,103,15,95,22,66,7,68,51,17
"E01006758",2011,"Liverpool 059F","Total",1157,189,71,118,232,96,97,30,7,2,384,216,38,51,50,29,165,38,108,19,92,27,61,4,95,44,51
"E01006759",2011,"Liverpool 028D","Total",859,149,70,79,189,118,53,10,5,3,299,154,23,51,46,25,115,26,72,17,53,15,36,2,54,26,28
"E01006760",2011,"Liverpool 028E","Total",1363,285,214,71,372,300,48,17,7,0,442,330,26,25,50,11,128,54,65,9,90,44,44,2,46,26,20
"E01006761",2011,"Liverpool 020B","Total",1313,184,98,86,237,144,62,22,7,2,484,312,31,62,56,23,176,56,104,16,117,41,71,5,115,57,58
"E01006762",2011,"Liverpool 015E","Total",1345,208,85,123,223,116,66,28,8,5,453,236,39,71,72,35,210,46,144,20,137,28,103,6,114,52,62
"E01006763",2011,"Liverpool 020C","Total",1159,174,66,108,251,144,66,31,7,3,399,222,35,63,53,26,139,25,99,15,98,35,61,2,98,37,61
"E01006764",2011,"Liverpool 020D","Total",1214,249,106,143,265,175,61,18,11,0,382,189,35,74,50,34,155,38,96,21,102,23,78,1,61,24,37
"E01006765",2011,"Liverpool 020E","Total",1192,179,59,120,197,119,43,24,8,3,445,229,41,59,77,39,161,41,111,9,94,31,61,2,116,54,62
"E01006766",2011,"Liverpool 019E","Total",968,148,70,78,231,111,77,25,16,2,348,200,43,32,50,23,114,32,67,15,74,24,46,4,53,25,28
"E01006767",2011,"Liverpool 019F","Total",1385,256,148,108,383,215,125,29,12,2,447,256,64,43,55,29,140,48,75,17,87,32,54,1,72,32,40
"E01006768",2011,"Liverpool 020F","Total",1149,190,83,107,225,168,35,9,9,4,431,263,30,49,53,36,151,26,104,21,97,16,79,2,55,21,34
"E01006769",2011,"Liverpool 040B","Total",1059,100,43,57,174,95,51,22,6,0,316,196,31,29,44,16,148,61,80,7,156,85,68,3,165,114,51
"E01006770",2011,"Liverpool 040C","Total",808,125,46,79,116,48,52,11,5,0,249,125,27,43,37,17,123,27,83,13,99,32,63,4,96,45,51
"E01006771",2011,"Liverpool 040D","Total",1172,170,64,106,149,77,54,15,2,1,375,208,38,38,55,36,177,64,99,14,178,78,94,6,123,63,60
"E01006772",2011,"Liverpool 040E","Total",908,141,66,75,88,53,20,9,5,1,306,162,37,42,47,18,178,34,130,14,98,32,64,2,97,49,48
"E01006773",2011,"Liverpool 036D","Total",1137,153,74,79,158,100,40,16,2,0,423,177,74,75,62,35,184,23,146,15,130,18,105,7,89,30,59
"E01006774",2011,"Liverpool 036E","Total",1170,179,71,108,173,95,60,12,4,2,453,184,49,72,105,43,187,20,140,27,90,26,60,4,88,36,52
"E01006775",2011,"Liverpool 040F","Total",1075,175,75,100,130,70,38,16,5,1,340,205,36,40,39,20,164,28,112,24,160,44,105,11,106,38,68
"E01006776",2011,"Liverpool 022B","Total",1402,193,106,87,239,165,49,17,5,3,462,270,52,45,71,24,207,72,121,14,163,73,84,6,138,81,57
"E01006778",2011,"Liverpool 014E","Total",1864,345,155,190,373,254,71,28,17,3,573,372,50,61,45,45,288,104,159,25,179,77,94,8,106,55,51
"E01006779",2011,"Liverpool 022D","Total",1557,249,112,137,270,158,75,31,5,1,467,269,42,54,71,31,244,62,150,32,181,81,81,19,146,79,67
"E01006780",2011,"Liverpool 002D","Total",1196,182,87,95,201,106,66,23,4,2,403,201,48,63,70,21,170,35,114,21,129,33,91,5,111,47,64
"E01006781",2011,"Liverpool 003A","Total",1222,165,72,93,192,111,61,19,0,1,472,228,49,86,73,36,211,29,166,16,119,34,84,1,63,26,37
"E01006782",2011,"Liverpool 003B","Total",1261,182,83,99,238,149,66,18,3,2,493,273,68,68,47,37,175,35,128,12,95,37,55,3,78,42,36
"E01006783",2011,"Liverpool 002E","Total",1213,188,80,108,223,111,76,32,3,1,436,217,48,83,59,29,174,32,129,13,117,26,87,4,75,47,28
"E01006784",2011,"Liverpool 003C","Total",1085,146,73,73,246,148,78,13,6,1,404,206,55,68,52,23,147,23,113,11,84,29,52,3,58,28,30
"E01006785",2011,"Liverpool 003D","Total",1438,232,121,111,296,188,76,25,7,0,469,242,59,67,76,25,178,34,127,17,135,36,94,5,128,51,77
"E01006786",2011,"Liverpool 003E","Total",1458,193,89,104,230,145,68,14,1,2,577,270,80,93,99,35,221,42,163,16,116,28,87,1,121,39,82
"E01006787",2011,"Liverpool 006A","Total",1240,222,116,106,283,203,48,22,10,0,463,248,59,58,74,24,142,39,85,18,81,26,51,4,49,17,32
"E01006788",2011,"Liverpool 006B","Total",1404,207,87,120,295,156,112,19,5,3,501,202,82,82,91,44,175,23,132,20,121,23,91,7,105,39,66
"E01006790",2011,"Liverpool 006C","Total",1276,210,90,120,291,153,93,35,10,0,423,261,32,33,65,32,154,37,106,11,105,48,57,0,93,60,33
"E01006791",2011,"Liverpool 006D","Total",1411,159,76,83,257,154,73,18,9,3,463,319,34,44,45,21,242,72,152,18,159,56,98,5,131,71,60
"E01006792",2011,"Liverpool 046A","Total",1149,120,57,63,97,62,28,3,1,3,368,144,65,74,68,17,201,16,161,24,177,29,142,6,186,71,115
"E01006793",2011,"Liverpool 051A","Total",1253,134,71,63,212,143,51,14,3,1,356,196,58,40,47,15,213,57,139,17,155,42,108,5,183,92,91
"E01006794",2011,"Liverpool 046B","Total",1346,136,65,71,179,122,51,4,2,0,457,228,71,78,63,17,244,37,189,18,177,25,149,3,153,60,93
"E01006795",2011,"Liverpool 051B","Total",1183,122,46,76,172,115,44,9,2,2,420,209,65,66,53,27,224,39,162,23,114,26,87,1,131,63,68
"E01006796",2011,"Liverpool 047E","Total",1299,174,67,107,115,90,21,2,1,1,455,142,80,96,81,56,243,11,205,27,175,17,156,2,137,54,83
"E01006797",2011,"Liverpool 051C","Total",1247,170,73,97,192,100,66,20,5,1,469,276,48,52,56,37,159,43,99,17,109,35,71,3,148,66,82
"E01006798",2011,"Liverpool 051D","Total",1215,172,84,88,153,109,30,8,2,4,382,195,43,57,59,28,225,45,159,21,139,27,105,7,144,47,97
"E01006799",2011,"Liverpool 051E","Total",1635,102,52,50,224,172,44,5,0,3,428,291,35,35,45,22,301,147,149,5,233,121,110,2,347,230,117
"E01006800",2011,"Liverpool 046C","Total",1246,114,53,61,134,87,41,2,2,2,328,182,38,38,40,30,190,37,138,15,236,49,177,10,244,88,156
"E01006801",2011,"Liverpool 046D","Total",1191,122,75,47,123,84,35,1,3,0,340,183,33,55,41,28,225,24,188,13,184,34,149,1,197,72,125
"E01032505",2011,"Liverpool 050F","Total",1085,169,74,95,182,104,54,20,3,1,372,187,52,37,66,30,169,30,127,12,105,33,67,5,88,35,53
"E01032506",2011,"Liverpool 050G","Total",1158,181,119,62,268,195,58,13,2,0,370,230,40,34,51,15,157,30,115,12,100,35,63,2,82,37,45
"E01032507",2011,"Liverpool 050H","Total",1339,242,164,78,416,340,62,8,3,3,395,241,47,37,47,23,135,26,94,15,97,19,75,3,54,24,30
"E01032508",2011,"Liverpool 027G","Total",1408,232,110,122,274,176,54,36,8,0,486,286,50,45,78,27,176,68,87,21,128,55,67,6,112,47,65
"E01032509",2011,"Liverpool 027H","Total",1137,185,86,99,284,138,108,31,4,3,361,198,39,51,49,24,124,33,80,11,97,32,62,3,86,35,51
"E01032510",2011,"Liverpool 008F","Total",1461,245,113,132,336,194,105,24,11,2,482,228,62,64,84,44,170,46,112,12,125,27,89,9,103,42,61
"E01032511",2011,"Liverpool 008G","Total",1144,159,75,84,197,122,47,21,5,2,356,198,25,52,57,24,256,44,201,11,111,34,75,2,65,27,38
"E01033747",2011,"Liverpool 018F","Total",814,123,32,91,151,72,55,15,8,1,238,138,15,31,39,15,136,47,80,9,76,32,40,4,90,46,44
"E01033748",2011,"Liverpool 050I","Total",1187,279,265,14,555,500,47,4,3,1,253,210,22,10,9,2,66,29,37,0,20,8,12,0,14,7,7
"E01033749",2011,"Liverpool 042F","Total",1118,969,952,17,77,64,12,0,1,0,41,23,3,8,3,4,16,3,12,1,9,3,4,2,6,2,4
"E01033750",2011,"Liverpool 061A","Total",1373,305,292,13,556,505,46,3,2,0,369,317,31,8,5,8,95,36,56,3,35,15,20,0,13,2,11
"E01033751",2011,"Liverpool 062A","Total",942,194,165,29,290,264,16,9,1,0,269,207,17,18,19,8,121,47,63,11,47,34,12,1,21,13,8
"E01033752",2011,"Liverpool 062B","Total",1160,313,304,9,592,561,30,1,0,0,207,189,8,0,8,2,43,26,16,1,2,1,1,0,3,3,0
"E01033753",2011,"Liverpool 062C","Total",1023,287,280,7,511,483,26,2,0,0,189,177,8,1,2,1,25,13,11,1,9,4,5,0,2,2,0
"E01033754",2011,"Liverpool 061B","Total",1359,379,349,30,521,501,17,1,1,1,222,159,23,14,22,4,113,48,60,5,71,32,37,2,53,18,35
"E01033755",2011,"Liverpool 062D","Total",1048,297,289,8,564,530,30,4,0,0,157,143,8,1,3,2,20,12,8,0,5,3,2,0,5,3,2
"E01033756",2011,"Liverpool 061C","Total",1098,389,383,6,452,425,25,2,0,0,160,141,6,3,6,4,68,30,35,3,21,7,13,1,8,3,5
"E01033757",2011,"Liverpool 037E","Total",961,535,520,15,179,158,15,3,3,0,176,148,14,3,9,2,41,29,12,0,19,7,11,1,11,8,3
"E01033758",2011,"Liverpool 060B","Total",658,281,270,11,200,179,11,8,2,0,106,80,7,9,8,2,43,27,12,4,18,9,9,0,10,6,4
"E01033759",2011,"Liverpool 010F","Total",886,128,50,78,205,95,70,34,5,1,284,153,37,38,39,17,111,21,82,8,82,24,57,1,76,41,35
"E01033760",2011,"Liverpool 060C","Total",842,450,443,7,247,241,5,1,0,0,108,101,0,1,4,2,25,15,9,1,11,4,7,0,1,1,0
"E01033761",2011,"Liverpool 060D","Total",1320,565,560,5,613,599,10,2,2,0,125,116,4,3,1,1,9,6,3,0,6,1,5,0,2,2,0
"E01033762",2011,"Liverpool 060E","Total",704,290,283,7,233,221,11,1,0,0,87,75,1,5,3,3,42,24,13,5,26,16,9,1,26,22,4
"E01033763",2011,"Liverpool 031G","Total",1344,327,280,47,250,205,21,13,6,5,339,256,12,21,35,15,184,77,94,13,149,81,58,10,95,59,36
"E01033764",2011,"Liverpool 022E","Total",1836,233,119,114,286,191,53,25,12,5,556,379,44,54,51,28,339,140,173,26,236,106,122,8,186,91,95
"E01033765",2011,"Liverpool 061D","Total",1080,152,84,68,211,132,55,12,10,2,395,255,37,42,44,17,160,48,96,16,102,43,56,3,60,25,35
"E01033766",2011,"Liverpool 042G","Total",958,319,285,34,255,222,21,9,2,1,213,121,30,25,30,7,86,17,65,4,51,16,35,0,34,12,22
"E01033767",2011,"Liverpool 050J","Total",879,143,80,63,209,143,44,19,3,0,276,182,13,25,36,20,115,41,62,12,79,34,43,2,57,31,26
"E01033768",2011,"Liverpool 037F","Total",1126,245,218,27,315,274,29,5,7,0,413,336,28,15,24,10,84,61,19,4,41,28,13,0,28,22,6
