"lsoa11cd","date","lsoa11nm","Rural Urban","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01032508",2011,"Liverpool 027G","Total",1296,8,0,21,206,9,4,262,30,7,98,10,641
"E01032509",2011,"Liverpool 027H","Total",1053,7,0,13,205,8,3,236,38,7,93,2,441
"E01032510",2011,"Liverpool 008F","Total",1358,14,1,17,190,18,7,472,70,13,80,5,471
"E01032511",2011,"Liverpool 008G","Total",1079,10,1,13,101,11,4,375,54,16,29,5,460
"E01033747",2011,"Liverpool 018F","Total",729,28,1,6,75,8,2,80,23,2,39,0,465
"E01033748",2011,"Liverpool 050I","Total",1174,21,23,167,68,4,3,510,53,27,45,5,248
"E01033749",2011,"Liverpool 042F","Total",1114,4,1,8,48,4,4,75,14,7,35,5,909
"E01033750",2011,"Liverpool 061A","Total",1360,37,2,53,67,14,4,544,41,18,248,9,323
"E01033751",2011,"Liverpool 062A","Total",1753,35,11,51,60,11,1,311,53,2,250,9,959
"E01033752",2011,"Liverpool 062B","Total",1158,38,23,87,68,12,2,219,18,10,431,5,245
"E01033753",2011,"Liverpool 062C","Total",1021,16,17,77,45,9,1,227,25,16,345,7,236
"E01033754",2011,"Liverpool 061B","Total",1310,31,11,85,83,8,1,251,27,8,380,5,420
"E01033755",2011,"Liverpool 062D","Total",1043,18,15,93,62,9,1,212,21,11,369,9,223
"E01033756",2011,"Liverpool 061C","Total",1139,27,13,81,48,6,0,166,15,6,340,10,427
"E01033757",2011,"Liverpool 037E","Total",960,15,1,34,48,3,3,70,16,13,136,1,620
"E01033758",2011,"Liverpool 060B","Total",1672,16,10,41,68,13,0,57,21,0,205,2,1239
"E01033759",2011,"Liverpool 010F","Total",810,10,0,8,122,12,4,217,37,7,42,4,347
"E01033760",2011,"Liverpool 060C","Total",2098,23,12,115,67,13,2,136,52,5,326,6,1341
"E01033761",2011,"Liverpool 060D","Total",1350,27,19,117,63,5,3,189,25,12,482,2,406
"E01033762",2011,"Liverpool 060E","Total",1746,11,7,71,74,8,1,120,31,5,269,5,1144
"E01033763",2011,"Liverpool 031G","Total",1279,7,1,26,138,15,2,129,23,18,122,3,795
"E01033764",2011,"Liverpool 022E","Total",1661,13,1,42,208,15,1,218,40,7,107,3,1006
"E01033765",2011,"Liverpool 061D","Total",1020,14,5,33,80,16,0,233,34,8,102,5,490
"E01033766",2011,"Liverpool 042G","Total",926,25,2,23,126,3,1,254,27,20,79,4,362
"E01033767",2011,"Liverpool 050J","Total",822,6,8,43,94,9,0,149,34,13,56,3,407
"E01033768",2011,"Liverpool 037F","Total",1102,15,6,53,76,12,3,155,8,27,214,4,529
