"lsoa11cd","date","lsoa11nm","Rural Urban","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E01006685",2011,"Liverpool 056C","Total",696,0,1,47,1,2,0,14,11,8,11,4,2,46,75,35,31,12,17,8,49,25,68,128,110,37,1,0
"E01006686",2011,"Liverpool 053E","Total",674,0,0,34,3,0,1,3,2,16,9,1,3,35,84,30,33,13,33,15,37,15,88,111,102,40,0,0
"E01006687",2011,"Liverpool 056D","Total",979,0,0,61,8,5,1,7,4,20,16,6,2,40,110,29,36,37,42,23,107,31,69,157,178,51,0,0
"E01006688",2011,"Liverpool 056E","Total",766,0,0,64,4,2,1,9,3,23,22,3,3,47,100,43,34,28,23,9,52,28,65,109,113,45,0,0
"E01006689",2011,"Liverpool 049D","Total",867,0,1,48,3,1,1,13,5,14,11,2,6,59,92,31,38,23,48,18,52,23,99,159,130,38,0,0
"E01006690",2011,"Liverpool 028A","Total",620,0,0,50,9,1,0,11,2,17,10,5,5,33,91,28,67,22,20,9,19,51,34,45,101,39,0,1
"E01006691",2011,"Liverpool 030A","Total",523,0,0,42,16,3,0,1,5,7,10,2,3,24,79,33,78,5,15,8,17,44,18,45,83,25,0,2
"E01006692",2011,"Liverpool 028B","Total",828,0,0,60,11,2,0,8,9,17,13,7,6,56,139,54,74,19,22,12,19,61,50,68,143,35,1,2
"E01006693",2011,"Liverpool 024D","Total",490,0,0,33,7,1,2,1,2,11,9,1,3,42,86,27,41,6,8,8,15,34,24,36,95,31,0,0
"E01006694",2011,"Liverpool 030B","Total",715,3,0,40,10,3,2,3,6,8,8,2,16,39,94,38,78,14,25,6,21,75,22,45,149,47,0,1
"E01006695",2011,"Liverpool 028C","Total",738,0,0,46,18,1,1,6,6,4,10,5,7,48,115,42,70,24,31,18,20,48,29,69,118,48,0,0
"E01006696",2011,"Liverpool 030C","Total",630,0,0,42,6,0,2,5,4,15,10,0,4,46,91,24,60,9,32,8,19,51,30,41,131,41,1,0
"E01006697",2011,"Liverpool 030D","Total",668,1,0,41,8,3,1,4,8,11,6,1,4,48,112,32,80,9,25,9,9,59,27,41,140,29,1,0
"E01006698",2011,"Liverpool 012D","Total",750,1,0,64,12,3,2,8,12,11,16,2,7,61,136,55,40,10,29,7,23,48,66,48,109,43,1,0
"E01006699",2011,"Liverpool 014A","Total",509,0,1,45,14,1,2,3,1,10,14,2,5,40,84,38,34,5,13,0,16,46,23,39,88,26,3,1
"E01006700",2011,"Liverpool 012E","Total",539,2,1,33,10,2,0,1,4,8,8,3,4,44,81,38,33,10,10,8,28,52,37,33,90,32,0,0
"E01006701",2011,"Liverpool 014B","Total",599,0,1,45,15,1,0,5,7,7,10,2,7,36,116,43,37,6,16,7,27,40,42,42,97,34,1,0
"E01006702",2011,"Liverpool 014C","Total",542,1,0,30,4,2,0,3,9,8,4,5,5,36,93,30,56,4,20,5,11,43,39,41,86,36,0,1
"E01006703",2011,"Liverpool 014D","Total",522,0,2,36,11,2,1,5,3,6,8,1,7,41,101,36,32,10,15,13,8,27,46,21,91,35,0,0
"E01006705",2011,"Liverpool 009E","Total",635,0,1,38,7,0,0,4,5,9,13,1,7,52,121,56,41,8,28,7,22,40,44,39,100,29,0,1
"E01006706",2011,"Liverpool 045A","Total",445,1,0,34,4,0,1,4,4,14,7,1,1,35,97,26,40,5,18,7,9,29,26,19,76,21,0,0
"E01006707",2011,"Liverpool 045B","Total",418,0,0,27,5,1,3,1,1,13,3,2,5,33,82,38,28,6,5,6,9,28,16,33,79,21,0,0
"E01006708",2011,"Liverpool 045C","Total",738,0,0,58,13,2,1,4,6,21,11,1,3,61,135,58,31,8,28,15,19,41,54,69,124,32,0,1
"E01006709",2011,"Liverpool 040A","Total",599,0,0,42,0,1,2,7,9,19,4,2,5,52,93,40,24,7,22,17,17,38,42,57,118,23,0,0
"E01006710",2011,"Liverpool 045D","Total",668,0,0,60,8,8,2,5,4,26,7,5,3,37,141,61,38,13,23,10,18,25,45,68,88,33,0,0
"E01006711",2011,"Liverpool 027A","Total",610,1,1,27,3,1,1,5,6,4,7,5,4,51,94,42,39,20,21,3,23,32,34,63,119,31,0,0
"E01006712",2011,"Liverpool 029D","Total",581,0,0,34,9,1,1,2,3,10,8,4,6,45,75,32,24,17,25,5,33,32,40,52,137,20,0,0
"E01006713",2011,"Liverpool 029E","Total",650,0,0,48,9,6,1,2,8,9,13,2,4,50,98,41,33,18,32,11,22,28,39,68,136,20,0,0
"E01006716",2011,"Liverpool 032E","Total",643,0,0,27,3,2,0,3,3,11,5,2,1,43,93,45,59,14,32,4,26,34,42,47,148,26,0,0
"E01006717",2011,"Liverpool 027D","Total",708,0,0,52,13,0,4,9,5,13,8,2,3,59,97,35,49,18,32,11,25,34,57,74,128,31,1,0
"E01006718",2011,"Liverpool 027E","Total",717,0,0,39,7,1,0,2,2,15,12,1,8,48,106,39,38,23,18,14,24,37,62,79,138,43,0,0
"E01006719",2011,"Liverpool 027F","Total",701,1,0,42,7,1,1,1,6,11,15,4,11,47,101,45,31,15,38,9,27,36,52,67,135,39,1,0
"E01006720",2011,"Liverpool 035A","Total",771,0,0,45,13,2,1,4,4,11,10,0,1,33,116,44,127,10,16,17,45,47,35,85,116,34,0,0
"E01006721",2011,"Liverpool 038C","Total",643,1,1,34,6,1,0,6,5,14,2,0,2,27,90,24,92,33,17,5,36,26,33,71,105,45,1,0
"E01006722",2011,"Liverpool 038D","Total",729,5,0,19,1,3,0,2,3,6,4,1,0,26,146,24,137,27,20,10,28,35,29,61,108,53,0,0
"E01006723",2011,"Liverpool 038E","Total",717,1,1,37,1,1,2,7,9,9,8,1,2,31,151,30,110,17,27,8,25,23,39,60,105,49,0,0
"E01006724",2011,"Liverpool 038F","Total",675,0,0,15,1,1,0,3,4,4,2,0,3,11,109,20,121,23,17,8,40,31,29,89,111,48,0,0
"E01006725",2011,"Liverpool 035B","Total",691,1,0,28,7,1,0,3,4,4,9,0,3,41,113,32,69,15,31,12,30,34,47,78,130,27,0,0
"E01006726",2011,"Liverpool 035C","Total",686,1,0,27,6,1,0,4,2,9,5,3,2,37,130,31,98,18,12,9,22,32,45,86,99,34,0,0
"E01006727",2011,"Liverpool 035D","Total",745,1,0,28,8,0,0,2,6,6,6,2,5,40,126,48,50,21,33,17,35,36,48,97,111,47,0,0
"E01006728",2011,"Liverpool 035E","Total",627,1,0,25,7,3,0,3,0,8,4,1,6,28,127,24,45,19,19,4,27,42,37,64,124,34,0,0
"E01006729",2011,"Liverpool 008C","Total",473,1,0,25,8,1,1,0,4,5,6,6,3,43,83,19,33,14,7,9,14,44,20,14,104,34,0,0
"E01006730",2011,"Liverpool 011C","Total",461,1,0,34,10,0,0,7,7,3,7,1,1,35,76,36,36,5,14,8,17,32,25,31,85,24,0,0
"E01006731",2011,"Liverpool 011D","Total",426,0,0,33,9,0,2,3,6,9,4,0,5,30,77,35,26,7,10,2,10,26,24,37,83,20,1,0
"E01006732",2011,"Liverpool 011E","Total",478,1,0,30,6,0,2,9,3,6,4,3,3,38,92,34,46,6,9,7,11,43,17,27,97,14,0,0
"E01006734",2011,"Liverpool 005C","Total",454,0,0,32,10,0,1,1,2,11,7,4,5,25,75,29,34,12,13,6,4,29,26,35,97,28,0,0
"E01006735",2011,"Liverpool 005D","Total",455,1,0,31,7,0,2,2,6,6,8,1,1,34,76,28,35,9,15,8,8,37,27,34,91,19,0,0
"E01006736",2011,"Liverpool 005E","Total",569,0,1,44,11,0,0,5,8,7,13,2,2,42,88,39,40,10,13,5,14,47,26,44,125,27,0,0
"E01006737",2011,"Liverpool 005F","Total",522,2,1,45,13,0,2,5,4,9,12,1,1,28,87,36,40,7,14,7,10,34,29,48,106,26,0,0
"E01006738",2011,"Liverpool 058A","Total",571,2,0,73,3,2,4,10,4,34,16,2,2,33,110,46,45,11,15,6,20,37,23,53,57,36,0,0
"E01006739",2011,"Liverpool 058B","Total",615,0,0,69,4,2,1,14,8,27,13,1,4,37,106,52,39,12,17,12,19,46,24,41,99,37,0,0
"E01006740",2011,"Liverpool 057A","Total",428,0,0,33,1,0,0,6,4,12,10,0,1,32,126,34,30,7,13,4,16,19,19,26,50,17,0,1
"E01006741",2011,"Liverpool 058C","Total",673,0,1,84,9,0,1,19,5,32,18,2,4,39,133,72,41,6,18,10,17,56,28,48,89,25,0,0
"E01006742",2011,"Liverpool 057B","Total",665,1,0,52,4,0,2,12,5,19,10,2,4,35,93,48,32,19,18,15,29,35,42,86,126,28,0,0
"E01006743",2011,"Liverpool 058D","Total",1046,0,2,101,11,0,1,25,2,26,36,1,10,78,173,101,73,22,35,15,42,43,69,109,130,39,1,2
"E01006744",2011,"Liverpool 057C","Total",737,0,0,44,4,1,2,10,4,17,6,0,2,50,124,55,39,25,18,18,39,28,52,103,104,36,0,0
"E01006745",2011,"Liverpool 057D","Total",874,1,2,71,5,1,1,13,11,14,26,2,3,60,155,69,64,18,25,11,29,52,55,99,123,35,0,0
"E01006746",2011,"Liverpool 030E","Total",461,0,0,21,5,0,0,6,0,4,6,2,4,25,86,20,81,8,11,2,16,34,11,29,73,38,0,0
"E01006747",2011,"Liverpool 031B","Total",1024,1,0,30,10,0,1,2,4,10,3,1,1,26,271,30,216,21,12,8,39,51,12,68,162,71,2,2
"E01006748",2011,"Liverpool 031C","Total",644,0,0,21,5,0,0,1,5,5,5,2,1,28,118,23,122,15,8,5,30,50,21,69,91,39,0,1
"E01006751",2011,"Liverpool 031F","Total",640,1,0,21,5,1,0,3,0,6,6,0,3,25,155,20,111,13,8,1,17,54,22,55,95,36,0,3
"E01006752",2011,"Liverpool 035F","Total",387,0,0,32,7,1,1,2,1,13,7,0,1,18,51,26,56,11,14,2,14,18,23,36,61,24,0,0
"E01006753",2011,"Liverpool 059A","Total",530,1,0,70,10,1,0,15,7,27,10,0,0,47,98,43,40,9,6,5,9,51,21,24,78,28,0,0
"E01006754",2011,"Liverpool 059B","Total",627,1,1,66,12,0,4,7,1,32,10,0,3,38,138,53,41,6,19,8,11,57,26,35,103,21,0,0
"E01006755",2011,"Liverpool 059C","Total",491,2,0,49,3,0,2,9,4,14,17,1,4,37,93,51,53,4,10,3,10,30,15,29,71,29,0,0
"E01006756",2011,"Liverpool 059D","Total",606,1,0,72,5,1,1,19,5,25,16,0,4,29,129,58,63,6,12,6,7,57,17,35,91,19,0,0
"E01006757",2011,"Liverpool 059E","Total",485,1,0,50,4,0,3,4,0,28,11,1,3,24,111,47,34,5,9,9,13,29,17,32,77,23,0,0
"E01006758",2011,"Liverpool 059F","Total",545,0,0,63,4,2,2,12,2,29,12,3,2,39,119,39,28,5,17,11,11,46,30,29,89,14,0,0
"E01006759",2011,"Liverpool 028D","Total",501,0,1,28,1,2,0,5,3,6,11,1,2,39,54,36,46,9,21,10,24,23,29,53,105,20,0,0
"E01006760",2011,"Liverpool 028E","Total",685,0,0,50,7,3,1,4,5,15,15,2,5,49,108,48,68,19,30,8,26,56,35,64,82,35,0,0
"E01006761",2011,"Liverpool 020B","Total",654,0,0,38,9,0,2,4,3,8,12,3,9,55,99,39,39,19,25,7,19,30,52,59,136,25,0,0
"E01006762",2011,"Liverpool 015E","Total",652,0,0,30,9,0,0,3,2,12,4,1,10,65,117,43,37,14,31,19,18,49,33,46,113,26,0,0
"E01006763",2011,"Liverpool 020C","Total",634,1,1,39,4,2,1,4,7,15,6,2,2,47,114,42,35,10,28,10,35,30,55,49,105,29,0,0
"E01006764",2011,"Liverpool 020D","Total",634,1,0,37,7,0,1,7,5,14,3,0,2,49,116,32,56,12,26,7,20,37,38,63,100,38,0,0
"E01006765",2011,"Liverpool 020E","Total",624,1,1,45,7,0,1,8,3,20,6,4,3,58,78,36,32,18,20,12,23,30,59,67,105,32,0,0
"E01006766",2011,"Liverpool 019E","Total",476,0,0,32,6,0,0,3,13,4,6,1,3,26,94,32,54,10,11,7,7,23,28,33,91,24,0,0
"E01006767",2011,"Liverpool 019F","Total",748,0,1,39,8,0,0,2,9,13,7,4,3,51,101,36,53,19,28,13,34,52,49,65,162,38,0,0
"E01006768",2011,"Liverpool 020F","Total",628,0,1,34,3,1,3,3,7,14,3,1,3,54,85,28,46,18,23,7,35,23,45,88,101,36,0,0
"E01006769",2011,"Liverpool 040B","Total",417,0,0,23,2,0,0,2,1,12,6,1,5,40,76,35,18,12,18,10,7,26,25,31,69,21,0,0
"E01006770",2011,"Liverpool 040C","Total",366,0,0,20,2,1,0,4,1,5,7,1,2,26,84,23,37,6,9,8,10,12,22,25,59,22,0,0
"E01006771",2011,"Liverpool 040D","Total",489,1,0,46,7,0,1,6,4,15,13,3,1,29,116,25,34,6,9,9,12,23,35,44,73,22,1,0
"E01006772",2011,"Liverpool 040E","Total",457,0,1,33,6,1,1,5,3,7,10,1,3,38,88,32,21,7,16,11,14,23,31,46,72,20,0,0
"E01006773",2011,"Liverpool 036D","Total",698,0,0,44,4,1,0,7,5,13,14,1,7,49,87,53,22,23,36,12,33,28,59,90,114,39,1,0
"E01006774",2011,"Liverpool 036E","Total",737,1,0,40,4,1,0,11,4,13,7,2,6,55,120,46,38,29,38,13,28,31,54,101,112,23,0,0
"E01006775",2011,"Liverpool 040F","Total",436,0,0,29,3,0,0,4,2,19,1,2,2,21,98,17,33,5,11,2,8,29,31,34,89,25,0,0
"E01006776",2011,"Liverpool 022B","Total",663,1,0,44,5,2,0,5,3,19,10,1,6,57,75,50,36,16,25,10,25,48,53,75,108,33,0,0
"E01006778",2011,"Liverpool 014E","Total",815,0,0,70,12,1,3,9,15,13,17,1,10,58,165,46,72,15,26,8,27,70,41,62,101,42,1,0
"E01006779",2011,"Liverpool 022D","Total",571,1,1,39,3,2,2,6,1,12,13,3,2,41,76,45,47,12,14,8,20,58,34,53,74,42,0,1
"E01006780",2011,"Liverpool 002D","Total",724,0,0,59,13,1,2,7,16,8,12,1,2,82,115,32,34,14,49,12,32,26,65,66,101,34,0,0
"E01006781",2011,"Liverpool 003A","Total",825,1,2,63,19,2,3,7,6,16,10,2,3,67,125,48,44,16,60,9,30,38,73,66,133,43,1,1
"E01006782",2011,"Liverpool 003B","Total",764,0,0,52,11,2,3,10,9,11,6,1,10,50,116,60,35,19,34,13,29,28,89,63,134,31,0,0
"E01006783",2011,"Liverpool 002E","Total",726,0,1,66,16,2,2,8,7,15,16,1,3,48,128,27,29,12,37,5,29,32,77,51,147,33,0,0
"E01006784",2011,"Liverpool 003C","Total",723,1,0,40,12,1,2,6,3,4,12,1,4,45,129,50,23,18,43,6,30,37,80,76,113,27,0,0
"E01006785",2011,"Liverpool 003D","Total",823,1,1,59,19,0,3,7,8,17,5,5,6,67,109,35,34,20,60,12,34,45,78,56,168,33,0,0
"E01006786",2011,"Liverpool 003E","Total",922,1,2,68,8,4,7,13,15,9,12,4,5,82,134,69,36,24,61,8,26,35,102,79,148,38,0,0
"E01006787",2011,"Liverpool 006A","Total",942,0,0,65,10,6,2,5,9,12,21,6,6,80,117,37,58,8,32,7,26,84,206,56,116,36,1,1
"E01006788",2011,"Liverpool 006B","Total",844,0,0,75,30,1,5,5,3,17,14,4,9,62,145,48,42,15,41,13,36,37,83,59,120,54,1,0
"E01006790",2011,"Liverpool 006C","Total",589,1,0,44,13,3,4,2,6,9,7,0,2,47,77,47,37,9,22,1,24,58,37,38,119,24,2,0
"E01006791",2011,"Liverpool 006D","Total",620,0,0,53,16,2,4,4,10,8,9,3,5,55,105,55,41,14,17,4,5,62,31,47,96,26,1,0
"E01006792",2011,"Liverpool 046A","Total",615,1,2,39,6,0,2,8,8,3,12,2,1,40,69,26,19,21,22,16,72,27,42,98,96,22,0,0
"E01006793",2011,"Liverpool 051A","Total",645,1,1,49,4,1,0,14,9,8,13,1,1,50,77,28,34,12,26,21,44,33,40,78,117,32,0,0
"E01006794",2011,"Liverpool 046B","Total",758,1,1,48,8,5,0,8,3,15,9,2,4,45,111,28,28,40,36,12,62,23,58,113,115,31,0,0
"E01006795",2011,"Liverpool 051B","Total",726,1,0,43,2,4,1,14,5,12,5,0,2,34,96,30,31,26,26,17,52,26,66,144,98,34,0,0
"E01006796",2011,"Liverpool 047E","Total",752,0,1,31,3,1,0,4,5,12,6,3,6,49,113,20,28,25,34,21,85,24,44,113,117,38,0,0
"E01006797",2011,"Liverpool 051C","Total",639,1,0,63,6,1,4,16,4,24,8,1,4,46,97,38,36,25,20,18,31,33,52,62,93,19,0,0
"E01006798",2011,"Liverpool 051D","Total",719,0,0,55,2,1,0,10,4,24,14,2,4,51,116,43,30,16,33,9,44,20,53,107,108,28,0,0
"E01006799",2011,"Liverpool 051E","Total",702,0,1,41,3,2,1,5,2,20,8,1,0,45,104,48,17,37,21,18,44,30,61,79,129,26,0,0
"E01006800",2011,"Liverpool 046C","Total",576,0,1,39,7,0,0,7,5,9,11,1,0,49,64,31,23,15,21,12,27,24,72,72,91,34,0,0
"E01006801",2011,"Liverpool 046D","Total",656,1,2,45,3,1,1,15,3,11,11,4,3,61,103,42,18,15,18,19,34,24,41,98,92,36,0,0
"E01032505",2011,"Liverpool 050F","Total",575,0,1,39,12,2,0,5,0,13,7,0,0,39,74,38,49,17,18,10,24,31,29,81,89,36,0,0
"E01032506",2011,"Liverpool 050G","Total",668,0,1,44,7,3,0,6,4,19,5,3,1,29,89,31,46,21,17,8,34,38,53,112,95,46,0,0
"E01032507",2011,"Liverpool 050H","Total",889,0,0,38,4,3,0,7,6,8,10,3,3,33,117,51,70,40,36,15,54,41,67,145,136,39,1,0
"E01032508",2011,"Liverpool 027G","Total",655,0,0,32,8,3,0,4,2,9,6,1,13,40,107,44,67,9,22,9,18,33,33,39,143,44,1,0
"E01032509",2011,"Liverpool 027H","Total",612,0,0,35,9,0,1,4,2,10,9,5,5,39,109,34,50,15,24,7,21,33,39,44,117,35,0,0
"E01032510",2011,"Liverpool 008F","Total",887,1,0,65,21,1,1,7,10,12,13,2,5,90,157,65,45,19,40,9,27,37,53,84,146,40,2,0
"E01032511",2011,"Liverpool 008G","Total",619,0,0,59,12,1,1,3,12,19,11,1,11,50,99,38,31,21,24,3,27,37,47,45,97,29,0,0
"E01033747",2011,"Liverpool 018F","Total",264,0,0,19,7,2,0,1,0,6,3,1,0,17,57,10,24,6,4,2,2,20,12,22,49,19,0,0
"E01033748",2011,"Liverpool 050I","Total",926,0,1,65,8,1,3,19,5,14,15,3,3,43,113,44,51,53,50,13,72,32,70,123,129,61,0,0
"E01033749",2011,"Liverpool 042F","Total",205,3,0,2,0,0,0,2,0,0,0,0,0,6,59,5,29,11,1,5,9,1,7,28,28,11,0,0
"E01033750",2011,"Liverpool 061A","Total",1037,0,0,50,2,4,1,10,2,21,10,5,4,51,118,26,95,51,60,11,89,26,77,133,175,63,2,1
"E01033751",2011,"Liverpool 062A","Total",794,2,3,28,5,0,2,5,0,7,9,1,2,25,161,41,109,31,49,9,64,39,46,53,80,51,0,0
"E01033752",2011,"Liverpool 062B","Total",913,2,3,39,9,5,2,7,1,8,7,4,5,18,93,32,86,70,69,8,134,41,50,87,110,58,0,4
"E01033753",2011,"Liverpool 062C","Total",785,1,0,31,7,2,0,7,2,5,8,3,2,24,99,42,37,55,74,9,121,35,54,71,79,47,0,1
"E01033754",2011,"Liverpool 061B","Total",890,0,0,28,7,0,1,3,1,11,5,4,2,32,145,21,116,51,31,8,90,35,39,104,126,56,0,2
"E01033755",2011,"Liverpool 062D","Total",820,2,2,27,5,2,0,10,2,4,4,7,2,7,118,24,98,39,39,12,129,28,60,70,103,53,0,0
"E01033756",2011,"Liverpool 061C","Total",712,2,4,25,2,3,3,4,2,6,5,1,4,9,91,37,88,49,39,10,82,28,42,76,81,40,0,4
"E01033757",2011,"Liverpool 037E","Total",340,0,0,11,2,0,0,2,0,5,2,0,3,3,73,3,43,9,6,6,20,15,22,37,58,31,0,0
"E01033758",2011,"Liverpool 060B","Total",433,1,0,9,0,0,0,3,1,1,4,0,2,10,85,12,110,18,11,1,22,14,13,50,41,34,0,0
"E01033759",2011,"Liverpool 010F","Total",463,0,0,32,5,3,3,0,5,11,5,0,3,36,71,27,28,6,8,9,7,38,30,51,95,22,0,0
"E01033760",2011,"Liverpool 060C","Total",757,0,0,22,1,1,0,5,0,7,8,1,0,13,233,8,163,35,18,6,48,20,14,60,44,72,0,0
"E01033761",2011,"Liverpool 060D","Total",944,0,1,35,3,0,3,9,5,7,8,1,1,12,146,21,146,42,50,20,95,41,52,121,103,57,0,0
"E01033762",2011,"Liverpool 060E","Total",602,4,0,16,1,2,0,3,1,1,8,0,3,10,147,15,125,16,17,10,40,26,29,42,61,41,0,0
"E01033763",2011,"Liverpool 031G","Total",484,3,0,23,4,0,0,3,1,9,6,3,2,23,74,17,76,17,3,3,21,47,28,41,76,27,0,0
"E01033764",2011,"Liverpool 022E","Total",655,0,0,39,6,3,1,6,2,12,9,0,2,53,117,48,63,10,20,19,19,62,40,39,87,37,0,0
"E01033765",2011,"Liverpool 061D","Total",530,0,0,34,3,3,1,3,0,13,11,1,4,39,67,31,57,9,28,10,29,20,36,37,84,42,2,0
"E01033766",2011,"Liverpool 042G","Total",564,1,0,18,1,2,0,7,1,3,4,1,0,19,67,23,50,29,16,16,39,15,43,108,89,30,0,0
"E01033767",2011,"Liverpool 050J","Total",415,0,0,27,4,1,0,3,0,13,6,2,1,31,63,30,31,8,14,10,19,24,23,41,72,19,0,0
"E01033768",2011,"Liverpool 037F","Total",573,0,1,18,3,0,0,1,5,2,7,0,8,14,80,18,44,33,20,22,43,27,27,75,108,35,0,0
