"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006598",2011,"Liverpool 010A","Total",927,17,6,0,6,11,7,3,0,1,76,44,38,4,2,0,17,15,87,50,25,5,7,43,8,8,0,35,35,0,62,40,22,18,4,203,46,94,4,39,1,14,5,190,23,28,37,101,1,160,109,51,89,89,0
"E01006599",2011,"Liverpool 010B","Total",778,9,4,0,4,5,3,1,1,0,82,40,36,2,2,0,23,19,93,45,31,13,4,39,13,13,0,26,26,0,50,36,14,12,2,139,62,49,8,11,0,8,1,175,35,13,30,96,1,121,73,48,70,70,0
"E01006600",2011,"Liverpool 011A","Total",1030,31,9,0,9,22,13,6,3,0,135,82,69,6,6,1,33,20,141,87,34,15,5,67,12,12,0,55,55,0,67,44,23,20,3,221,61,91,15,38,0,10,6,174,31,9,44,88,2,102,72,30,92,92,0
"E01006603",2011,"Liverpool 011B","Total",1025,27,5,0,5,22,16,6,0,0,131,80,71,6,3,0,29,22,109,65,33,10,1,66,13,13,0,53,53,0,70,44,26,25,1,246,73,104,8,44,0,13,4,160,24,22,37,77,0,138,96,42,78,78,0
"E01006604",2011,"Liverpool 016A","Total",1019,29,9,0,9,20,14,3,3,0,113,66,59,4,3,0,24,23,171,101,46,19,5,70,14,14,0,56,56,0,74,42,32,27,5,218,70,86,11,30,0,19,2,171,18,17,41,95,0,98,56,42,75,75,0
"E01006605",2011,"Liverpool 016B","Total",1121,43,17,0,17,26,16,8,2,0,131,79,70,4,5,0,25,27,137,95,35,5,2,75,19,19,0,56,56,0,79,41,38,35,3,217,68,85,7,40,1,9,7,211,33,24,49,104,1,137,89,48,91,91,0
"E01006606",2011,"Liverpool 020A","Total",1155,53,16,0,16,37,21,15,1,0,156,77,60,11,5,1,48,31,192,127,48,12,5,90,17,17,0,73,72,1,91,51,40,34,6,203,56,85,13,32,0,15,2,193,25,17,52,99,0,110,76,34,67,67,0
"E01006607",2011,"Liverpool 008A","Total",1084,21,10,0,10,11,6,5,0,0,121,61,53,5,3,0,44,16,142,77,44,17,4,57,14,14,0,43,43,0,68,41,27,25,2,229,69,83,9,47,0,18,3,208,20,26,56,105,1,124,83,41,114,114,0
"E01006608",2011,"Liverpool 009A","Total",926,35,10,0,10,25,13,10,1,1,159,94,82,7,4,1,40,25,133,88,29,14,2,71,12,12,0,59,59,0,56,43,13,11,2,186,58,72,11,31,0,11,3,142,22,10,40,67,3,78,47,31,66,66,0
"E01006609",2011,"Liverpool 009B","Total",975,30,9,0,9,21,11,9,1,0,141,80,73,1,6,0,38,23,150,103,33,10,4,53,11,11,0,42,42,0,84,39,45,40,5,176,47,66,14,31,1,14,3,137,20,11,43,62,1,118,80,38,86,86,0
"E01006610",2011,"Liverpool 009C","Total",1015,33,13,0,13,20,12,8,0,0,118,74,60,6,8,0,27,17,149,86,42,16,5,46,8,8,0,38,37,1,80,53,27,24,3,198,50,85,18,32,0,10,3,173,35,19,39,80,0,124,93,31,94,94,0
"E01006611",2011,"Liverpool 012A","Total",994,15,3,0,3,12,4,7,1,0,92,56,46,8,2,0,23,13,135,81,36,16,2,44,5,5,0,39,39,0,73,46,27,24,3,182,45,73,17,32,1,10,4,221,34,22,53,111,1,167,116,51,65,65,0
"E01006612",2011,"Liverpool 008B","Total",1073,30,6,0,6,24,10,12,2,0,107,58,50,7,1,0,23,26,152,93,39,17,3,64,15,15,0,49,49,0,80,47,33,29,4,220,63,83,20,35,1,15,3,188,20,19,57,91,1,159,107,52,73,73,0
"E01006613",2011,"Liverpool 009D","Total",1016,28,7,0,7,21,10,9,2,0,111,63,55,5,2,1,22,26,151,88,46,11,6,70,13,13,0,57,55,2,61,28,33,28,5,200,57,87,12,24,1,14,5,187,22,35,51,79,0,114,75,39,94,94,0
"E01006614",2011,"Liverpool 012B","Total",989,23,6,0,6,17,9,7,0,1,121,62,51,4,5,2,33,26,153,93,37,17,6,56,13,13,0,43,43,0,78,41,37,32,5,221,74,95,15,26,1,8,2,172,25,16,28,103,0,106,66,40,59,59,0
"E01006615",2011,"Liverpool 012C","Total",998,20,5,0,5,15,9,6,0,0,103,58,53,2,3,0,22,23,141,82,41,17,1,49,16,16,0,33,33,0,66,37,29,25,4,245,76,99,17,25,1,22,5,189,26,16,32,112,3,114,77,37,71,71,0
"E01006616",2011,"Liverpool 015D","Total",1068,38,15,1,14,23,9,9,4,1,150,93,84,7,2,0,37,20,167,115,36,15,1,75,19,19,0,56,56,0,81,39,42,34,8,202,59,79,14,34,0,12,4,189,21,16,53,97,2,86,61,25,80,80,0
"E01006617",2011,"Liverpool 021A","Total",1093,119,30,0,30,89,49,27,12,1,278,189,160,14,14,1,61,28,174,111,44,13,6,90,21,21,0,69,66,3,67,43,24,23,1,122,41,40,7,15,0,15,4,117,24,6,34,52,1,41,26,15,85,85,0
"E01006618",2011,"Liverpool 016C","Total",1205,38,14,0,14,24,10,13,1,0,168,101,93,5,3,0,46,21,196,126,49,17,4,76,14,14,0,62,62,0,102,54,48,45,3,219,74,86,14,27,0,16,2,201,32,21,45,101,2,96,72,24,109,109,0
"E01006619",2011,"Liverpool 021B","Total",1196,73,12,0,12,61,29,24,5,3,262,175,151,12,8,4,44,43,221,159,43,13,6,105,25,25,0,80,79,1,70,36,34,31,3,181,52,68,7,21,0,22,11,126,23,16,32,53,2,62,45,17,96,96,0
"E01006620",2011,"Liverpool 021C","Total",1021,86,29,0,29,57,28,21,7,1,218,146,124,15,4,3,35,37,191,116,52,16,7,98,31,31,0,67,67,0,53,31,22,21,1,149,55,53,6,15,0,13,7,105,18,11,35,41,0,43,28,15,78,78,0
"E01006621",2011,"Liverpool 021D","Total",1123,120,27,0,27,93,56,21,15,1,285,174,140,15,15,4,74,37,167,121,35,11,0,150,63,63,0,87,86,1,54,30,24,22,2,113,35,37,10,17,0,11,3,72,17,8,24,22,1,37,25,12,125,125,0
"E01006622",2011,"Liverpool 021E","Total",1097,106,27,0,27,79,37,32,9,1,279,184,156,19,8,1,52,43,214,140,55,16,3,96,27,27,0,69,68,1,63,27,36,32,4,138,32,46,7,22,0,25,6,77,13,3,36,25,0,31,23,8,93,93,0
"E01006623",2011,"Liverpool 013A","Total",1150,112,34,0,34,78,45,23,8,2,237,141,118,10,10,3,57,39,188,121,55,10,2,130,51,51,0,79,78,1,95,41,54,48,6,135,41,43,8,21,0,20,2,99,15,13,33,35,3,46,34,12,108,108,0
"E01006624",2011,"Liverpool 013B","Total",1174,55,17,0,17,38,17,15,5,1,209,134,114,10,10,0,39,36,157,105,41,6,5,98,33,33,0,65,65,0,80,41,39,34,5,217,67,92,18,22,0,13,5,140,23,10,38,68,1,128,88,40,90,90,0
"E01006625",2011,"Liverpool 016D","Total",1010,79,23,0,23,56,29,22,3,2,222,147,126,15,6,0,45,30,154,96,36,15,7,85,20,20,0,65,65,0,64,36,28,25,3,159,51,48,10,31,0,16,3,106,18,10,36,42,0,51,37,14,90,90,0
"E01006626",2011,"Liverpool 016E","Total",1116,79,24,0,24,55,36,16,3,0,235,154,126,18,8,2,53,28,212,141,50,18,3,76,17,17,0,59,57,2,82,30,52,47,5,164,49,56,9,25,0,20,5,110,28,9,29,44,0,51,31,20,107,107,0
"E01006627",2011,"Liverpool 013C","Total",1033,75,15,0,15,60,25,26,7,2,225,137,117,12,8,0,49,39,172,114,44,11,3,62,10,10,0,52,52,0,89,41,48,43,5,168,56,62,11,25,0,12,2,115,11,16,39,47,2,60,45,15,67,67,0
"E01006628",2011,"Liverpool 052D","Total",1525,177,22,0,22,155,109,32,13,1,298,231,193,15,23,0,40,27,150,91,44,11,4,91,38,38,0,53,53,0,69,38,31,27,4,145,39,68,13,9,0,14,2,73,23,2,20,28,0,75,49,26,447,447,0
"E01006629",2011,"Liverpool 052E","Total",1008,103,20,0,20,83,52,22,7,2,234,177,150,13,14,0,37,20,138,96,28,12,2,60,18,18,0,42,41,1,53,27,26,22,4,160,49,68,7,17,0,17,2,111,16,8,18,69,0,62,49,13,87,87,0
"E01006630",2011,"Liverpool 044B","Total",970,33,7,1,6,26,19,7,0,0,89,47,39,3,5,0,30,12,60,30,24,6,0,35,10,10,0,25,25,0,65,33,32,27,5,192,55,95,8,17,0,12,5,199,27,18,44,110,0,197,154,43,100,100,0
"E01006632",2011,"Liverpool 044C","Total",1352,64,16,0,16,48,18,26,4,0,161,95,86,8,1,0,43,23,145,79,51,14,1,82,17,17,0,65,64,1,100,64,36,30,6,226,58,111,10,27,0,20,0,272,45,23,44,157,3,192,135,57,110,110,0
"E01006633",2011,"Liverpool 050B","Total",1036,17,6,0,6,11,7,4,0,0,101,59,53,2,3,1,26,16,92,61,27,4,0,46,12,12,0,34,34,0,65,39,26,24,2,201,62,88,15,25,1,6,4,252,38,39,39,134,2,186,145,41,76,76,0
"E01006637",2011,"Liverpool 017A","Total",1109,23,5,0,5,18,9,5,3,1,159,94,87,3,1,3,44,21,113,55,36,19,3,55,15,15,0,40,40,0,71,49,22,21,1,243,72,117,14,28,0,7,5,163,22,15,31,95,0,168,125,43,114,114,0
"E01006638",2011,"Liverpool 017B","Total",872,14,4,0,4,10,7,3,0,0,75,38,35,1,2,0,26,11,112,51,38,18,5,39,2,2,0,37,37,0,53,32,21,18,3,188,46,97,13,18,0,10,4,155,17,21,34,83,0,150,102,48,86,86,0
"E01006639",2011,"Liverpool 017C","Total",1097,62,15,0,15,47,26,15,5,1,207,138,121,11,6,0,42,27,181,107,46,20,8,96,19,19,0,77,76,1,61,34,27,22,5,191,48,84,16,27,0,13,3,139,29,6,42,60,2,79,65,14,81,81,0
"E01006640",2011,"Liverpool 021F","Total",1358,127,29,0,29,98,51,35,11,1,321,207,175,26,5,1,77,37,216,132,64,14,6,119,28,28,0,91,90,1,89,48,41,39,2,171,51,64,10,23,1,14,8,134,24,15,43,52,0,89,65,24,92,92,0
"E01006641",2011,"Liverpool 025C","Total",1187,84,22,0,22,62,37,23,1,1,303,224,210,7,6,1,48,31,180,104,54,16,6,92,25,25,0,67,67,0,80,39,41,36,5,204,63,89,10,22,0,14,6,118,15,7,40,53,3,67,45,22,59,59,0
"E01006642",2011,"Liverpool 025D","Total",900,14,7,0,7,7,5,2,0,0,91,51,43,1,7,0,24,16,82,43,29,9,1,46,14,14,0,32,31,1,59,36,23,20,3,202,60,92,10,25,0,13,2,162,21,15,34,92,0,151,98,53,93,93,0
"E01006643",2011,"Liverpool 025E","Total",1275,39,4,0,4,35,24,10,0,1,160,99,85,8,3,3,37,24,155,81,50,20,4,73,10,10,0,63,63,0,104,71,33,32,1,232,70,103,16,31,0,10,2,212,33,25,50,104,0,179,132,47,121,121,0
"E01006644",2011,"Liverpool 017D","Total",1507,78,21,0,21,57,31,20,6,0,234,138,118,16,3,1,59,37,224,112,76,30,6,85,17,17,0,68,68,0,104,58,46,42,4,277,82,121,16,35,0,19,4,223,38,15,55,114,1,166,118,48,116,116,0
"E01006645",2011,"Liverpool 017E","Total",993,20,4,0,4,16,11,3,1,1,98,57,45,7,4,1,23,18,94,46,34,11,3,56,22,22,0,34,34,0,70,37,33,27,6,190,53,81,13,29,0,10,4,212,35,27,47,100,3,179,129,50,74,74,0
"E01006646",2011,"Liverpool 023C","Total",1543,128,13,0,13,115,80,25,8,2,220,135,113,9,8,5,46,39,136,73,46,15,2,62,27,26,1,35,35,0,90,58,32,29,3,198,57,92,11,25,0,7,6,257,29,25,48,154,1,235,187,48,217,217,0
"E01006647",2011,"Liverpool 024C","Total",1000,20,3,0,3,17,13,3,0,1,70,41,37,2,2,0,19,10,93,52,28,11,2,33,10,10,0,23,23,0,68,42,26,26,0,158,32,76,8,19,1,14,8,255,28,37,47,142,1,217,179,38,86,86,0
"E01006648",2011,"Liverpool 023D","Total",1780,138,11,0,11,127,78,33,14,2,237,137,123,6,7,1,70,30,171,92,69,7,3,55,13,13,0,42,42,0,100,65,35,24,11,235,52,105,18,39,0,16,5,333,35,27,56,213,2,219,173,46,292,292,0
"E01006651",2011,"Liverpool 001A","Total",1214,92,27,0,27,65,33,22,8,2,297,179,152,14,12,1,76,42,209,143,48,11,7,112,26,26,0,86,86,0,85,43,42,38,4,161,54,52,8,29,0,12,6,111,19,6,49,36,1,36,23,13,111,111,0
"E01006652",2011,"Liverpool 002A","Total",1118,64,14,0,14,50,24,24,2,0,215,143,131,7,4,1,41,31,185,115,48,20,2,86,11,11,0,75,75,0,65,35,30,23,7,217,66,78,16,36,0,17,4,144,25,19,48,50,2,66,41,25,76,76,0
"E01006653",2011,"Liverpool 001B","Total",1100,37,10,0,10,27,20,6,1,0,206,115,93,13,8,1,59,32,131,80,36,11,4,67,17,17,0,50,50,0,84,49,35,32,3,181,39,80,8,35,2,11,6,198,32,23,60,81,2,124,92,32,72,72,0
"E01006654",2011,"Liverpool 005A","Total",1080,52,14,0,14,38,16,20,1,1,198,118,105,9,3,1,51,29,178,103,53,13,9,80,23,23,0,57,57,0,84,42,42,39,3,197,55,81,8,38,1,12,2,150,15,19,55,60,1,52,27,25,89,89,0
"E01006655",2011,"Liverpool 001C","Total",1272,93,17,0,17,76,62,9,5,0,244,167,150,11,6,0,48,29,167,94,47,25,1,83,19,19,0,64,64,0,88,44,44,40,4,210,61,90,15,30,1,8,5,182,25,18,48,90,1,117,81,36,88,88,0
"E01006656",2011,"Liverpool 002B","Total",1135,62,21,0,21,41,24,17,0,0,233,124,108,10,5,1,62,47,211,137,57,13,4,69,12,12,0,57,57,0,108,58,50,41,9,179,53,72,12,24,0,13,5,139,33,17,40,48,1,62,36,26,72,72,0
"E01006657",2011,"Liverpool 002C","Total",905,39,13,0,13,26,14,10,2,0,153,85,71,7,7,0,39,29,152,89,39,18,6,66,19,19,0,47,47,0,82,43,39,35,4,184,52,69,17,30,0,13,3,96,19,11,28,38,0,79,50,29,54,54,0
"E01006658",2011,"Liverpool 001D","Total",971,19,9,0,9,10,5,5,0,0,101,54,46,4,3,1,30,17,113,47,46,17,3,51,9,9,0,42,42,0,72,39,33,30,3,225,48,104,16,44,1,10,2,195,20,27,38,109,1,132,103,29,63,63,0
"E01006659",2011,"Liverpool 005B","Total",1476,54,13,0,13,41,24,8,8,1,123,71,52,8,11,0,29,23,117,63,39,10,5,137,42,41,1,95,91,4,128,73,55,45,10,262,46,107,31,54,5,13,6,348,23,48,85,188,4,242,198,44,65,65,0
"E01006660",2011,"Liverpool 001E","Total",1008,24,4,0,4,20,11,7,2,0,152,108,97,8,2,1,33,11,142,80,35,22,5,73,22,22,0,51,50,1,74,46,28,26,2,207,49,84,16,43,0,9,6,182,21,17,52,92,0,82,54,28,72,72,0
"E01006661",2011,"Liverpool 004A","Total",1176,28,7,0,7,21,16,4,1,0,118,68,65,0,1,2,30,20,134,77,37,16,4,61,17,17,0,44,44,0,69,41,28,26,2,281,71,95,28,65,1,13,8,236,33,33,48,122,0,168,122,46,81,81,0
"E01006662",2011,"Liverpool 004B","Total",1165,37,10,0,10,27,14,8,3,2,164,98,94,2,2,0,42,24,150,88,43,18,1,61,9,9,0,52,52,0,77,44,33,28,5,220,48,98,13,39,0,16,6,244,44,30,46,123,1,131,98,33,81,81,0
"E01006663",2011,"Liverpool 004C","Total",820,34,7,0,7,27,20,5,1,1,128,81,71,8,2,0,31,16,130,76,36,14,4,49,13,13,0,36,35,1,53,22,31,27,4,151,36,61,15,25,0,11,3,152,20,26,38,67,1,81,62,19,42,42,0
"E01006664",2011,"Liverpool 004D","Total",1264,57,16,0,16,41,25,14,1,1,148,99,85,5,7,2,29,20,143,84,36,15,8,89,19,18,1,70,70,0,82,46,36,30,6,270,66,113,30,41,1,17,2,224,30,30,53,108,3,181,129,52,70,70,0
"E01006665",2011,"Liverpool 007A","Total",1172,69,16,0,16,53,26,23,4,0,284,181,151,20,8,2,70,33,204,112,67,15,10,98,31,31,0,67,66,1,80,38,42,36,6,189,56,64,10,37,0,19,3,96,15,12,42,27,0,52,33,19,100,100,0
"E01006666",2011,"Liverpool 007B","Total",1107,113,34,0,34,79,45,27,7,0,247,159,136,14,7,2,53,35,184,110,57,8,9,93,29,29,0,64,64,0,72,32,40,34,6,148,47,44,10,23,1,22,1,83,18,6,31,28,0,40,25,15,127,127,0
"E01006667",2011,"Liverpool 007C","Total",1079,53,15,0,15,38,19,17,2,0,189,127,105,10,9,3,37,25,151,90,41,18,2,92,18,18,0,74,73,1,91,48,43,35,8,202,66,74,12,33,0,15,2,153,21,12,45,73,2,86,60,26,62,62,0
"E01006668",2011,"Liverpool 007D","Total",1118,95,21,0,21,74,43,27,4,0,261,162,144,10,7,1,59,40,207,141,41,12,13,117,35,35,0,82,82,0,71,42,29,22,7,129,54,41,5,15,0,9,5,105,23,11,36,35,0,35,23,12,98,98,0
"E01006669",2011,"Liverpool 004E","Total",1109,112,23,0,23,89,46,31,9,3,187,104,90,9,4,1,53,30,177,109,54,10,4,108,36,36,0,72,72,0,75,34,41,38,3,151,59,57,6,16,0,9,4,120,12,10,49,49,0,60,40,20,119,119,0
"E01006670",2011,"Liverpool 007E","Total",1150,118,27,0,27,91,51,29,9,2,237,149,128,13,8,0,56,32,174,107,45,15,7,110,27,27,0,83,81,2,77,40,37,33,4,172,57,55,9,25,1,20,5,104,10,9,44,40,1,64,44,20,94,94,0
"E01006671",2011,"Liverpool 013D","Total",1046,76,22,0,22,54,33,18,1,2,203,128,117,7,4,0,43,32,141,81,45,9,6,91,46,46,0,45,45,0,63,36,27,24,3,140,41,63,7,16,0,11,2,139,23,12,45,59,0,82,57,25,111,111,0
"E01006672",2011,"Liverpool 010E","Total",1353,47,14,0,14,33,15,16,2,0,158,87,74,7,3,3,40,31,162,97,36,24,5,89,23,23,0,66,66,0,98,59,39,38,1,255,65,107,13,40,0,23,7,252,41,32,70,109,0,179,126,53,113,113,0
"E01006673",2011,"Liverpool 037D","Total",1425,74,7,0,7,67,41,18,6,2,212,152,111,14,24,3,36,24,98,50,35,10,3,59,17,17,0,42,42,0,71,38,33,31,2,174,46,89,4,17,0,12,6,152,30,14,17,91,0,307,238,69,278,278,0
"E01006674",2011,"Liverpool 039C","Total",1277,47,8,0,8,39,27,7,4,1,108,78,73,1,3,1,21,9,89,58,20,11,0,69,22,21,1,47,45,2,58,26,32,30,2,199,40,110,16,21,1,8,3,135,18,18,24,75,0,379,325,54,193,193,0
"E01006675",2011,"Liverpool 043C","Total",1604,202,24,0,24,178,122,34,19,3,355,268,200,15,47,6,65,22,134,66,48,16,4,109,23,23,0,86,85,1,125,57,68,63,5,191,55,92,15,12,0,12,5,94,21,12,14,46,1,219,162,57,175,175,0
"E01006676",2011,"Liverpool 044D","Total",1208,45,6,0,6,39,21,12,6,0,117,74,64,3,7,0,32,11,87,48,23,16,0,89,32,31,1,57,57,0,67,41,26,24,2,195,37,112,9,20,0,10,7,168,27,23,31,86,1,260,206,54,180,180,0
"E01006677",2011,"Liverpool 043D","Total",704,14,5,0,5,9,6,2,1,0,57,38,28,4,6,0,12,7,46,26,15,5,0,49,12,12,0,37,37,0,38,21,17,16,1,122,30,64,4,11,0,10,3,127,29,12,18,68,0,178,150,28,73,73,0
"E01006678",2011,"Liverpool 044E","Total",1657,74,13,0,13,61,42,14,5,0,222,166,142,6,15,3,32,24,146,89,38,15,4,104,16,16,0,88,86,2,112,58,54,48,6,277,76,113,17,40,0,17,14,270,32,29,49,160,0,252,185,67,200,200,0
"E01006679",2011,"Liverpool 039D","Total",1460,44,5,0,5,39,23,9,5,2,143,112,90,6,15,1,19,12,79,44,24,11,0,90,21,21,0,69,69,0,75,36,39,34,5,168,40,90,12,15,0,6,5,114,14,13,16,68,3,493,405,88,254,254,0
"E01006680",2011,"Liverpool 053B","Total",1182,158,29,0,29,129,88,29,11,1,296,196,169,14,12,1,53,47,183,125,41,10,7,97,31,31,0,66,66,0,90,41,49,43,6,142,53,47,4,14,0,18,6,69,19,4,25,21,0,44,30,14,103,103,0
"E01006681",2011,"Liverpool 054D","Total",1176,102,20,0,20,82,45,29,7,1,268,170,150,8,9,3,50,48,200,120,60,12,8,76,17,17,0,59,59,0,78,31,47,36,11,164,49,63,13,16,0,17,6,98,29,5,20,44,0,93,63,30,97,97,0
"E01006682",2011,"Liverpool 053C","Total",963,169,39,1,38,130,79,41,10,0,292,217,187,15,13,2,41,34,160,109,36,9,6,79,19,19,0,60,60,0,41,23,18,16,2,71,24,27,1,10,0,7,2,51,17,1,15,18,0,26,23,3,74,74,0
"E01006683",2011,"Liverpool 053D","Total",1118,178,33,0,33,145,93,40,10,2,288,205,182,13,7,3,38,45,192,119,48,17,8,76,26,26,0,50,50,0,60,27,33,28,5,131,45,48,3,12,0,16,7,68,13,1,27,27,0,37,26,11,88,88,0
"E01006684",2011,"Liverpool 056B","Total",1629,340,59,0,59,281,163,85,31,2,462,331,263,41,27,0,77,54,274,181,74,16,3,106,37,37,0,69,69,0,86,53,33,29,4,154,36,60,12,16,0,24,6,66,13,2,23,27,1,43,21,22,98,98,0
"E01006685",2011,"Liverpool 056C","Total",1121,153,31,1,30,122,78,24,20,0,314,230,195,14,16,5,48,36,158,105,36,10,7,89,26,26,0,63,63,0,63,30,33,25,8,106,35,43,5,5,0,13,5,69,14,3,30,22,0,46,30,16,123,123,0
"E01006686",2011,"Liverpool 053E","Total",1060,96,15,0,15,81,52,23,6,0,278,196,175,6,12,3,40,42,187,121,47,11,8,64,21,21,0,43,43,0,77,40,37,32,5,129,39,51,9,12,0,15,3,79,14,6,27,31,1,33,23,10,117,117,0
"E01006687",2011,"Liverpool 056D","Total",1483,333,45,0,45,288,164,44,74,6,419,314,254,22,33,5,62,43,152,106,32,10,4,109,37,37,0,72,72,0,64,34,30,28,2,129,33,56,6,17,0,12,5,79,11,8,27,33,0,117,89,28,81,81,0
"E01006688",2011,"Liverpool 056E","Total",1174,145,24,0,24,121,70,34,13,4,288,223,172,23,27,1,35,30,172,108,44,13,7,77,19,19,0,58,57,1,88,51,37,29,8,151,45,63,10,16,0,8,9,105,16,7,36,45,1,67,41,26,81,81,0
"E01006689",2011,"Liverpool 049D","Total",1215,158,29,0,29,129,79,38,11,1,351,263,217,19,23,4,53,35,202,132,52,14,4,91,19,19,0,72,72,0,66,34,32,27,5,142,52,50,4,17,0,11,8,72,21,4,26,21,0,39,26,13,94,94,0
"E01006690",2011,"Liverpool 028A","Total",1227,44,6,0,6,38,24,8,6,0,159,106,91,5,9,1,40,13,119,69,33,14,3,65,12,12,0,53,53,0,79,42,37,33,4,215,46,90,17,43,1,17,1,182,30,21,33,95,3,191,129,62,173,173,0
"E01006691",2011,"Liverpool 030A","Total",1110,27,4,0,4,23,18,3,2,0,108,68,59,3,6,0,30,10,95,57,24,11,3,72,22,22,0,50,50,0,69,34,35,34,1,200,45,98,17,23,0,15,2,165,21,17,37,88,2,200,155,45,174,174,0
"E01006692",2011,"Liverpool 028B","Total",1644,62,12,0,12,50,29,11,8,2,222,143,120,13,9,1,48,31,166,100,46,19,1,117,28,28,0,89,89,0,110,69,41,27,14,284,78,123,19,37,0,18,9,250,36,38,56,120,0,248,178,70,185,185,0
"E01006693",2011,"Liverpool 024D","Total",1190,24,4,0,4,20,18,0,2,0,118,72,65,3,4,0,37,9,108,70,19,16,3,82,28,28,0,54,53,1,79,44,35,31,4,248,78,109,16,31,0,13,1,257,30,22,56,148,1,194,155,39,80,80,0
"E01006694",2011,"Liverpool 030B","Total",1392,32,1,0,1,31,24,4,2,1,157,100,90,6,1,3,38,19,148,84,44,18,2,59,20,20,0,39,39,0,82,59,23,21,2,271,52,156,15,32,1,9,6,230,28,23,37,141,1,208,147,61,205,205,0
"E01006695",2011,"Liverpool 028C","Total",1496,62,9,0,9,53,33,14,5,1,168,125,94,19,9,3,31,12,150,78,50,14,8,85,15,15,0,70,70,0,89,65,24,17,7,245,79,114,11,20,0,17,4,201,31,22,57,91,0,284,185,99,212,212,0
"E01006696",2011,"Liverpool 030C","Total",1286,19,7,0,7,12,8,2,2,0,157,111,104,6,0,1,24,22,133,76,30,24,3,67,16,16,0,51,51,0,80,43,37,32,5,228,55,107,17,23,0,21,5,204,31,25,27,121,0,187,151,36,211,211,0
"E01006697",2011,"Liverpool 030D","Total",1365,33,7,0,7,26,11,5,6,4,153,98,84,4,6,4,38,17,129,76,33,18,2,89,39,39,0,50,49,1,80,39,41,38,3,256,74,142,9,16,0,13,2,215,22,43,45,105,0,221,164,57,189,189,0
"E01006698",2011,"Liverpool 012D","Total",1244,28,6,0,6,22,8,12,0,2,178,98,83,13,2,0,40,40,196,116,58,18,4,76,16,16,0,60,60,0,89,56,33,30,3,244,81,89,14,40,0,16,4,225,43,23,53,102,4,105,66,39,103,103,0
