"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"E01006565",2011,"Liverpool 029A","Total",1549,16,10,12,12,18,11,17,17,21,17,22,14,21,24,20,22,13,27,22,29,20,22,18,15,17,20,19,20,17,15,27,12,12,19,10,13,11,20,24,15,34,29,17,27,18,17,24,30,26,25,29,23,14,32,17,15,20,15,19,16,17,16,21,20,19,22,15,15,24,8,14,13,14,10,7,11,12,11,14,16,14,9,8,9,12,8,7,6,7,1,7,2,0,1,1,0,0,0,0,0,0
"E01006566",2011,"Liverpool 032A","Total",1506,17,25,14,14,19,15,18,14,12,18,23,12,19,16,17,19,21,31,19,19,17,14,29,16,16,17,17,19,17,17,19,25,16,13,18,17,22,17,20,19,16,21,18,19,20,26,24,26,37,24,27,15,21,20,15,17,19,18,14,14,14,26,13,19,24,17,11,17,10,8,13,12,8,8,12,10,14,4,16,8,6,11,13,10,14,14,5,8,7,6,1,4,1,1,1,0,1,1,0,0,0
"E01006567",2011,"Liverpool 026A","Total",1655,12,14,20,18,11,12,3,17,10,12,14,14,20,12,12,15,19,18,20,22,21,20,25,23,22,21,25,24,26,29,10,25,19,25,17,17,17,20,25,14,14,29,29,31,19,22,34,24,31,16,19,23,24,21,24,18,25,25,26,15,19,30,15,29,19,12,11,17,18,16,11,17,14,15,21,17,16,15,14,29,14,8,12,13,6,4,11,10,5,6,5,7,3,2,0,1,2,1,0,0,1
"E01006568",2011,"Liverpool 026B","Total",1617,12,11,26,21,19,22,19,14,18,14,18,20,17,19,32,29,22,16,26,21,16,12,16,21,13,18,18,19,27,16,25,24,19,15,17,17,22,30,29,27,18,24,20,20,23,17,28,20,33,23,30,25,17,31,27,30,20,19,18,17,21,13,16,22,11,12,15,11,9,14,11,12,10,8,14,7,15,11,6,7,9,19,9,7,7,8,11,6,6,8,5,2,1,4,3,1,1,1,2,2,3
"E01006569",2011,"Liverpool 029B","Total",1429,13,9,8,13,8,12,10,10,8,10,13,20,22,15,18,26,21,24,16,22,19,15,18,10,18,17,27,15,24,20,11,16,7,14,9,12,12,13,13,18,18,25,18,13,12,20,19,26,19,25,21,25,19,28,24,17,18,21,17,17,17,13,17,19,21,22,18,24,9,9,14,18,17,10,14,17,16,9,21,14,8,5,4,14,14,12,8,1,7,6,5,4,4,2,0,5,0,1,0,0,2
"E01006570",2011,"Liverpool 026C","Total",1479,12,7,11,9,16,13,22,12,13,26,25,15,14,17,26,20,24,18,24,20,17,23,26,17,24,16,16,14,17,16,11,16,21,9,18,16,12,12,14,16,25,24,19,21,27,30,29,21,27,30,21,32,29,20,22,13,22,15,22,11,18,22,12,13,18,11,13,19,12,8,15,11,11,4,18,22,14,10,9,11,9,3,11,8,8,9,5,7,4,2,1,1,1,1,0,2,0,1,0,0,0
"E01006571",2011,"Liverpool 026D","Total",1470,16,12,12,13,17,14,16,17,11,14,17,14,12,28,20,27,23,31,22,23,18,20,16,20,17,23,21,21,16,15,9,25,16,13,18,17,14,10,13,10,16,18,21,18,16,23,22,31,23,26,25,33,20,24,21,25,27,21,20,15,13,17,15,14,19,9,7,11,10,5,10,10,8,13,13,19,16,16,12,9,5,7,8,14,11,4,3,14,3,4,4,6,0,0,3,1,0,0,0,0,1
"E01006572",2011,"Liverpool 025A","Total",1207,15,15,18,26,19,21,24,24,17,16,18,17,23,21,7,17,16,12,18,19,12,14,17,9,16,16,18,14,20,17,25,14,11,13,11,20,18,9,15,10,12,18,18,6,10,19,18,18,19,17,17,18,22,15,21,15,14,13,11,10,13,12,12,12,14,6,11,10,10,8,11,11,5,9,15,11,7,8,5,2,10,5,4,5,5,4,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0
"E01006573",2011,"Liverpool 029C","Total",1501,21,19,19,24,22,23,8,13,17,18,16,15,13,16,21,13,15,19,19,13,13,14,18,15,13,23,26,17,25,28,16,20,23,24,27,4,23,25,18,16,22,29,28,24,14,21,20,19,8,21,24,19,25,20,16,14,22,25,16,14,19,13,9,15,23,17,9,11,10,15,8,14,10,10,17,14,14,3,13,20,13,6,12,5,15,8,5,7,8,3,9,4,2,1,2,1,2,0,0,1,0
"E01006574",2011,"Liverpool 025B","Total",1388,12,21,18,17,14,21,14,20,17,19,17,22,18,19,27,18,22,24,20,24,17,8,13,17,19,18,18,24,11,15,14,16,17,13,10,9,17,21,18,16,28,10,25,14,20,18,25,25,17,22,23,15,28,16,20,13,19,8,17,7,14,14,18,11,15,15,11,16,13,9,5,15,16,10,13,18,5,6,10,12,10,12,6,12,3,6,1,7,2,5,7,4,0,0,0,0,2,0,0,0,0
"E01006575",2011,"Liverpool 034A","Total",1294,11,16,11,13,16,16,14,6,15,6,10,15,13,17,14,14,20,19,20,12,14,18,11,16,21,25,12,17,11,17,14,17,14,18,12,21,9,18,13,19,20,16,14,18,19,31,22,24,15,25,11,20,13,19,16,19,14,14,16,14,5,16,17,28,18,19,17,7,7,10,16,13,11,12,12,16,15,12,8,8,11,7,15,7,6,7,0,3,4,2,5,1,1,0,0,2,0,1,0,0,0
"E01006576",2011,"Liverpool 034B","Total",1693,19,21,19,24,16,11,16,18,17,14,27,16,15,21,21,24,20,14,25,18,20,19,14,17,26,27,14,17,10,14,25,19,23,10,22,30,10,20,20,24,32,29,24,28,42,28,25,35,31,37,28,30,25,30,24,29,10,29,18,15,27,15,20,33,21,14,17,10,16,11,25,11,7,18,12,22,14,12,16,9,7,8,4,10,7,0,2,6,3,3,1,2,0,2,0,1,1,0,0,0,0
"E01006577",2011,"Liverpool 034C","Total",1503,13,19,13,17,16,12,14,21,12,21,21,10,17,19,16,26,29,22,18,25,16,15,18,14,14,13,13,9,17,13,18,6,12,5,21,19,16,12,34,16,24,27,25,21,20,18,31,34,22,32,29,30,17,24,31,21,19,18,19,18,17,19,25,25,21,18,17,16,9,4,10,12,7,16,15,18,9,9,9,19,8,2,11,6,9,6,4,4,1,2,1,3,2,1,2,2,0,2,0,0,0
"E01006578",2011,"Liverpool 036A","Total",1380,16,11,19,25,21,16,15,20,18,9,10,15,18,19,23,17,11,16,24,12,14,11,11,26,20,24,20,16,27,29,22,22,22,25,17,16,14,20,22,15,23,12,17,15,23,22,25,11,27,27,21,18,16,18,12,15,21,13,11,15,23,13,9,14,17,13,19,13,11,13,11,17,12,9,8,13,5,8,4,8,8,11,4,4,4,0,3,5,4,1,1,0,0,1,0,0,2,1,0,0,1
"E01006579",2011,"Liverpool 034D","Total",1643,18,20,24,16,25,21,13,20,12,23,18,22,34,25,11,24,19,23,13,12,17,21,16,15,13,19,19,18,22,12,16,15,12,22,13,15,11,26,19,20,21,18,20,25,38,29,38,28,30,27,20,22,23,18,30,20,21,21,21,28,16,19,25,28,24,23,10,20,23,21,15,11,10,14,12,14,7,13,12,15,13,5,6,12,7,8,5,6,2,2,4,2,1,2,0,2,0,1,0,0,1
"E01006580",2011,"Liverpool 036B","Total",1335,13,7,17,10,18,10,11,16,19,17,15,10,16,9,16,20,27,23,19,15,14,21,12,8,15,14,18,8,9,6,16,20,10,11,10,7,8,12,15,16,23,16,21,33,15,28,23,22,21,25,29,29,31,28,26,19,22,32,11,15,17,13,13,21,19,17,7,13,20,13,16,16,7,10,10,12,3,10,9,10,7,4,9,0,4,7,4,2,6,5,1,0,1,1,0,1,0,0,0,0,0
"E01006581",2011,"Liverpool 036C","Total",1559,12,15,23,23,14,17,23,21,16,8,24,21,15,11,32,20,11,25,15,22,27,27,13,21,19,18,12,22,12,10,16,13,9,12,8,12,16,15,21,23,24,27,32,26,33,18,26,29,25,20,28,28,23,30,21,22,17,15,20,21,23,23,27,24,16,20,13,10,22,17,10,18,17,13,15,11,11,8,6,10,8,9,7,7,4,6,5,4,4,2,3,1,0,1,1,1,0,0,1,2,0
"E01006582",2011,"Liverpool 041A","Total",1642,11,14,27,16,15,18,19,16,18,19,22,21,28,28,37,24,31,35,24,22,32,19,14,20,15,17,7,12,12,13,7,20,24,13,16,9,20,18,17,17,14,33,19,25,24,29,28,50,26,33,38,23,27,28,20,14,16,13,24,25,24,17,29,27,24,15,11,14,11,19,13,13,13,13,6,15,8,7,7,7,8,10,11,8,10,3,3,3,5,1,1,4,3,1,1,1,0,0,0,0,0
"E01006583",2011,"Liverpool 047C","Total",1758,18,7,14,11,22,14,14,10,13,16,13,18,7,17,23,17,24,12,138,246,73,62,23,18,18,17,13,13,9,4,5,10,3,8,8,17,14,12,8,9,15,19,21,17,14,17,19,20,21,20,30,24,24,23,27,21,21,12,29,20,19,17,13,28,18,24,16,17,9,17,5,17,13,11,6,14,6,13,7,9,4,7,10,11,11,3,7,3,2,3,1,1,1,0,1,0,2,0,0,0,0
"E01006584",2011,"Liverpool 034E","Total",1393,16,15,18,14,15,12,12,9,12,12,11,18,19,21,14,28,29,15,17,10,18,15,6,15,13,18,12,13,17,12,16,10,11,11,23,25,21,20,19,22,22,19,22,23,17,19,27,22,22,13,20,20,19,16,18,19,20,24,33,20,23,17,24,21,24,12,16,16,14,5,9,27,10,15,6,7,11,15,9,7,6,10,4,5,4,6,3,1,4,5,0,3,4,0,0,0,0,1,0,0,0
"E01006585",2011,"Liverpool 032B","Total",1354,13,14,21,9,9,11,14,11,9,10,19,13,14,16,23,12,11,20,20,24,18,20,12,17,18,21,22,13,13,10,13,15,10,11,10,15,9,15,12,16,25,30,25,21,28,28,18,24,24,21,19,18,25,13,20,9,20,12,22,15,17,19,16,22,17,11,13,8,17,8,10,7,17,20,21,11,18,10,10,15,7,10,12,6,7,5,5,0,2,2,4,0,0,1,2,2,1,0,1,0,0
"E01006586",2011,"Liverpool 032C","Total",1899,17,20,28,17,20,16,12,18,13,17,17,11,23,15,28,21,21,18,24,30,30,28,31,28,27,35,35,45,28,38,28,43,25,20,18,19,12,24,29,31,32,31,29,30,43,34,36,24,34,29,22,20,25,33,19,29,27,18,25,16,14,19,27,17,23,10,10,14,13,9,18,16,19,10,18,13,16,13,10,8,9,6,12,9,12,6,4,6,4,6,2,2,1,4,0,1,1,1,0,0,0
"E01006587",2011,"Liverpool 032D","Total",1624,22,16,11,19,21,18,12,19,17,18,11,17,14,14,16,25,12,21,11,26,18,26,16,33,22,31,20,21,22,30,17,33,15,29,16,20,29,16,17,30,31,17,27,25,20,27,31,29,25,24,29,15,23,32,28,28,21,26,22,17,22,21,28,32,36,9,11,18,11,10,9,15,12,9,9,9,10,6,8,7,5,1,6,4,5,1,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0
"E01006588",2011,"Liverpool 042C","Total",1569,18,12,12,11,11,6,17,4,9,12,6,13,5,9,10,12,15,13,12,23,48,42,31,37,54,39,38,41,37,34,28,27,17,16,19,14,25,18,20,22,18,30,15,14,26,19,17,18,17,18,22,16,21,25,20,21,31,20,20,20,15,11,10,17,24,15,12,16,11,10,5,8,6,15,11,12,7,9,10,12,12,5,3,4,5,8,5,4,10,5,3,5,5,1,2,7,3,1,0,0,0
"E01006589",2011,"Liverpool 041B","Total",1518,22,18,23,15,15,18,20,9,19,19,18,14,18,25,14,17,25,12,22,15,20,17,20,15,14,18,17,13,12,20,22,14,15,8,16,10,20,15,25,31,23,26,22,19,20,20,27,26,28,25,32,23,21,18,20,26,20,32,20,18,27,24,23,20,18,14,15,14,20,17,7,6,13,13,3,5,12,12,12,7,9,8,13,8,9,6,5,5,0,2,2,1,1,0,0,1,0,0,0,0,0
"E01006590",2011,"Liverpool 042D","Total",1642,11,14,13,15,12,9,14,11,12,16,10,11,13,9,5,10,12,11,10,29,85,77,54,48,45,51,30,39,43,61,56,39,21,32,28,19,24,18,16,18,16,21,20,20,17,20,28,17,18,22,24,18,19,20,17,18,12,16,13,5,18,13,6,11,11,11,8,9,10,7,12,8,3,6,9,7,12,5,7,9,5,3,10,6,4,5,3,3,2,1,3,0,0,2,0,0,1,0,0,0,0
"E01006591",2011,"Liverpool 041C","Total",1633,23,20,21,15,17,5,10,18,11,10,13,17,17,27,16,19,22,22,26,26,45,47,38,35,36,34,31,25,26,31,28,27,23,24,16,24,19,20,18,27,25,24,25,21,18,17,23,24,22,25,24,19,23,19,17,25,16,23,19,17,17,27,21,17,16,11,12,12,6,6,8,5,18,7,10,13,4,5,2,4,7,4,6,8,5,6,5,5,4,5,2,0,0,0,0,0,0,0,0,0,0
"E01006592",2011,"Liverpool 041D","Total",1565,10,4,10,12,23,8,14,16,9,16,18,15,20,21,21,21,12,26,17,16,32,40,24,21,24,20,15,24,14,10,15,9,20,13,6,8,9,20,15,10,18,22,26,16,27,20,17,19,31,22,24,20,24,32,25,31,18,22,20,24,21,30,23,17,24,20,14,23,17,12,7,10,17,9,14,8,22,9,13,17,16,15,11,13,15,10,8,9,6,3,7,3,1,1,1,1,2,0,0,0,0
"E01006593",2011,"Liverpool 042E","Total",1541,22,23,20,8,12,9,9,15,12,21,7,12,9,14,14,10,18,11,9,44,76,60,33,29,37,45,37,30,57,23,44,37,39,39,27,28,18,24,19,14,30,28,20,22,19,13,14,20,17,10,12,17,10,17,14,14,14,14,12,14,10,13,12,7,8,12,10,15,7,2,7,4,7,10,2,6,7,5,7,10,8,2,3,3,4,1,2,3,2,2,1,1,0,1,0,1,0,0,0,0,0
"E01006594",2011,"Liverpool 047D","Total",1410,8,12,9,7,15,15,17,8,12,16,14,13,17,16,21,19,24,14,19,12,14,13,22,18,13,16,11,11,14,6,4,8,12,9,5,3,15,15,9,14,20,16,23,18,16,16,28,22,27,32,27,24,32,23,29,18,23,24,36,13,21,28,33,27,36,21,16,15,10,12,16,16,14,8,13,12,12,12,11,9,7,9,11,12,7,5,6,6,7,1,5,3,2,0,0,0,0,0,0,0,0
"E01006595",2011,"Liverpool 049B","Total",1745,34,20,21,19,20,16,23,21,9,8,14,10,16,18,9,11,19,17,19,11,21,20,19,20,17,25,24,31,43,37,43,36,30,27,18,36,33,19,20,23,29,33,20,21,19,23,22,22,26,32,19,28,14,31,17,22,17,26,15,25,26,14,19,15,26,8,14,19,14,19,15,19,10,13,13,14,17,18,12,14,11,11,10,9,8,4,7,2,3,6,2,1,5,3,2,1,2,1,0,0,0
"E01006596",2011,"Liverpool 049C","Total",1451,12,15,14,8,15,11,13,12,9,13,15,15,16,18,22,15,15,13,15,30,19,19,23,24,20,15,20,26,28,27,21,20,15,15,9,13,19,15,17,19,18,19,17,18,22,15,15,23,27,23,28,19,29,29,27,31,24,25,28,21,15,10,23,21,10,7,19,10,5,7,11,7,17,5,13,14,9,7,18,15,7,5,12,6,9,8,5,4,3,1,4,2,1,3,0,0,0,0,0,0,0
"E01006597",2011,"Liverpool 041E","Total",1667,17,17,19,12,20,20,21,14,16,15,16,17,18,18,19,13,19,21,16,10,27,22,23,32,17,18,14,18,23,18,15,12,19,18,27,16,10,18,21,30,21,21,33,18,34,24,20,34,17,31,27,26,32,27,25,15,25,24,22,30,22,19,28,21,26,18,19,19,13,8,13,13,14,18,11,13,13,10,15,6,9,14,7,9,11,8,12,8,1,5,0,3,0,2,1,8,4,3,0,0,1
"E01006598",2011,"Liverpool 010A","Total",1361,13,23,22,14,25,19,19,13,29,23,16,17,27,23,18,22,26,16,23,18,17,11,21,18,13,19,21,13,17,15,13,17,19,8,23,19,17,18,13,21,18,12,26,11,12,17,17,15,17,17,15,21,20,9,23,12,14,12,20,15,15,8,12,18,14,14,16,12,11,12,11,9,15,13,8,9,7,9,14,12,8,5,6,3,7,5,4,7,6,3,2,3,0,1,0,0,0,0,0,0,0
"E01006599",2011,"Liverpool 010B","Total",1121,22,27,32,17,21,18,30,19,19,16,9,14,17,17,19,10,22,19,16,12,16,18,16,15,20,18,25,12,22,26,18,20,11,13,16,11,13,16,10,8,25,16,12,13,6,21,12,11,15,12,18,14,16,8,10,14,6,11,10,6,15,7,9,12,5,14,14,9,4,9,7,1,8,10,5,4,5,2,2,6,1,4,7,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"E01006600",2011,"Liverpool 011A","Total",1407,16,12,10,13,15,11,14,19,13,16,10,14,13,19,20,19,18,29,30,22,22,21,12,12,18,23,23,17,18,10,16,10,19,13,8,12,12,12,18,13,14,20,17,14,28,18,21,26,27,22,24,29,32,29,25,24,14,23,16,11,21,5,12,9,16,13,8,17,12,12,7,14,11,13,18,17,13,11,15,9,8,8,15,11,7,4,5,6,3,5,2,1,0,0,2,1,0,0,0,0,0
"E01006603",2011,"Liverpool 011B","Total",1410,12,10,12,13,11,10,15,12,19,17,7,20,14,14,26,21,13,20,23,27,28,21,19,13,21,17,23,22,8,23,13,15,8,12,6,16,17,13,24,21,13,10,18,15,28,23,34,18,25,22,29,22,25,15,12,20,9,14,19,18,12,15,14,17,11,14,8,19,13,14,14,20,15,15,12,17,15,16,11,14,13,13,8,8,5,5,8,4,3,3,4,1,0,0,1,1,1,1,0,0,0
"E01006604",2011,"Liverpool 016A","Total",1367,17,6,14,13,9,10,9,15,17,14,15,21,16,20,17,24,24,19,16,20,26,18,25,15,19,16,28,12,15,20,15,13,11,9,6,14,8,17,15,20,22,11,22,20,28,23,16,19,28,30,21,30,22,31,23,10,23,17,16,14,11,18,11,14,9,14,12,22,8,10,12,15,9,14,13,10,11,9,10,10,8,5,7,5,7,5,4,8,3,2,4,1,0,0,1,1,0,0,0,0,0
"E01006605",2011,"Liverpool 016B","Total",1531,9,11,11,12,24,22,12,6,24,10,21,18,21,17,20,23,22,12,27,17,27,27,20,29,19,20,25,20,9,22,20,18,21,19,14,11,16,13,22,26,17,22,21,27,15,22,23,21,25,29,23,24,17,21,28,24,14,22,22,19,14,21,16,16,16,13,8,12,9,16,8,11,13,20,16,10,10,10,15,15,11,14,15,17,3,7,4,1,2,6,2,2,2,0,0,1,0,0,0,2,0
"E01006606",2011,"Liverpool 020A","Total",1521,13,21,19,11,23,16,12,12,25,16,9,11,19,18,15,14,15,14,21,22,4,14,26,22,23,15,24,31,25,12,27,24,22,25,22,27,14,15,14,14,19,15,23,25,18,19,29,28,32,30,25,18,24,21,20,19,27,26,20,25,15,17,18,11,14,19,16,19,7,10,19,11,17,13,14,11,10,12,10,10,6,9,13,3,5,3,4,5,1,3,1,1,0,2,1,2,0,0,0,0,0
"E01006607",2011,"Liverpool 008A","Total",1531,14,10,16,19,19,18,13,13,12,30,23,23,34,19,21,20,29,26,26,18,34,16,16,21,21,19,14,20,24,20,15,17,10,21,22,13,11,17,23,13,26,22,15,26,32,16,12,21,35,23,18,25,25,20,14,14,19,24,17,20,23,17,15,11,17,8,11,11,15,7,6,14,9,10,20,15,14,18,9,16,12,6,7,8,6,5,2,12,2,4,2,3,0,0,1,0,0,1,0,0,0
"E01006608",2011,"Liverpool 009A","Total",1215,15,24,21,10,10,14,11,9,16,7,11,8,16,13,12,20,12,12,22,17,12,24,16,13,16,9,18,18,18,24,18,23,18,11,14,16,15,19,17,19,14,20,21,18,18,20,23,20,26,25,19,10,21,13,19,11,12,13,23,14,15,15,13,17,13,7,13,12,12,6,4,9,10,10,9,8,9,11,4,6,3,4,5,3,0,1,1,5,4,3,3,2,0,0,0,0,0,0,0,0,0
"E01006609",2011,"Liverpool 009B","Total",1283,14,17,14,24,11,16,13,9,18,9,11,14,10,14,13,16,22,17,20,19,23,13,13,20,20,20,24,15,20,27,18,23,27,9,11,24,20,17,24,15,18,24,20,15,17,21,21,11,14,25,10,17,18,26,18,13,20,15,14,13,15,15,12,10,10,19,13,5,14,10,10,12,6,7,6,4,8,4,4,10,6,6,4,5,8,3,5,7,4,1,3,2,0,0,0,1,0,0,0,0,0
"E01006610",2011,"Liverpool 009C","Total",1397,19,11,15,20,14,16,15,15,12,10,14,20,17,21,19,18,25,22,29,21,18,13,22,12,14,22,26,27,22,26,14,16,12,25,24,15,21,11,23,12,22,17,25,20,13,21,20,16,17,15,17,28,21,12,16,16,15,19,21,10,17,16,7,15,18,13,13,6,15,8,14,5,17,15,3,15,5,11,6,2,8,11,7,7,4,4,11,9,6,9,3,1,0,0,2,3,1,0,1,0,0
"E01006611",2011,"Liverpool 012A","Total",1291,21,32,19,17,18,29,5,19,7,6,8,16,8,5,14,12,7,16,23,15,21,27,22,34,18,35,18,30,30,21,23,18,27,25,9,13,13,15,17,21,17,22,11,20,21,9,14,21,27,24,15,22,10,17,18,18,18,6,13,10,8,13,9,18,11,10,8,10,7,13,13,11,10,12,10,6,2,6,7,8,2,1,4,3,2,3,1,3,3,1,6,0,2,1,0,0,0,0,0,0,0
"E01006612",2011,"Liverpool 008B","Total",1495,22,18,20,14,12,17,15,16,15,17,25,16,15,21,18,20,13,10,33,22,27,17,16,19,20,17,17,23,12,25,25,17,17,21,17,13,22,14,11,27,20,23,23,19,13,19,19,18,29,26,23,22,31,20,12,18,17,18,23,15,16,26,17,14,10,9,12,14,15,10,9,12,9,14,23,11,14,10,22,10,11,11,17,6,1,10,2,0,7,5,1,2,0,0,1,0,0,0,0,0,0
"E01006613",2011,"Liverpool 009D","Total",1360,21,10,7,19,10,9,6,12,17,13,16,8,15,16,18,11,23,14,12,23,29,22,18,17,15,23,12,12,14,20,14,13,11,14,10,14,11,11,13,15,13,13,19,23,21,27,23,20,15,19,21,28,19,15,16,23,19,21,21,22,12,19,11,24,27,20,18,13,15,13,11,13,17,9,16,16,9,10,7,9,12,10,7,8,5,7,4,4,2,8,6,2,4,2,2,1,0,0,1,0,0
"E01006614",2011,"Liverpool 012B","Total",1322,18,19,21,19,10,14,18,14,24,8,13,8,10,15,17,10,12,8,12,18,15,30,23,22,24,14,25,24,19,15,22,22,26,28,16,23,13,14,10,16,26,22,28,11,22,15,21,18,19,21,13,10,21,24,26,14,11,9,19,15,14,16,10,19,21,8,13,9,10,9,6,11,5,10,12,18,14,7,7,6,5,6,7,4,2,1,4,2,1,3,1,2,4,1,0,0,0,0,0,0,0
"E01006615",2011,"Liverpool 012C","Total",1302,29,27,10,18,18,7,14,16,12,10,2,17,12,9,18,12,14,14,26,18,20,17,20,22,26,27,23,35,28,20,18,22,20,14,16,18,14,17,15,22,17,14,16,27,13,16,24,27,14,20,19,13,25,14,16,13,13,12,22,12,20,15,10,9,21,6,14,11,11,5,11,8,9,8,7,7,8,5,8,2,3,6,7,6,7,1,4,1,1,3,0,2,1,0,1,0,0,0,0,0,0
"E01006616",2011,"Liverpool 015D","Total",1428,14,17,10,8,10,30,10,12,10,13,16,17,20,9,21,26,19,26,11,28,22,20,18,14,23,13,9,18,14,18,11,12,16,20,23,18,14,15,18,15,25,21,20,13,22,16,22,26,36,31,19,22,22,20,13,14,18,26,25,27,13,13,19,20,25,14,14,15,17,10,15,9,11,13,7,12,11,15,9,5,6,7,5,5,6,3,4,9,8,3,0,4,0,2,0,2,0,0,1,0,0
"E01006617",2011,"Liverpool 021A","Total",1421,21,12,15,13,10,10,5,9,16,12,9,14,15,10,16,18,21,20,11,19,18,18,19,20,21,20,30,21,20,26,17,20,13,15,13,19,13,19,14,29,21,15,26,27,22,25,27,31,21,37,26,25,25,16,25,21,9,19,10,19,17,23,12,12,14,8,13,12,15,9,11,6,12,9,17,16,15,14,9,14,9,3,3,6,8,3,6,3,1,4,2,2,1,1,2,0,0,0,0,1,0
"E01006618",2011,"Liverpool 016C","Total",1639,16,8,15,8,12,11,17,9,19,13,23,21,26,15,17,18,15,37,18,23,20,24,16,26,18,25,21,8,14,12,8,8,16,12,14,12,22,11,10,13,30,26,20,31,27,22,34,26,25,37,34,31,29,19,30,25,20,19,13,14,22,15,15,27,19,14,19,13,21,15,21,22,22,26,19,16,14,15,28,19,10,10,12,9,9,4,6,7,5,3,6,4,5,1,0,1,0,1,0,0,1
"E01006619",2011,"Liverpool 021B","Total",1599,24,12,14,20,15,15,23,13,16,16,11,10,18,15,23,15,17,19,19,18,19,22,21,17,23,19,26,19,14,21,20,30,14,25,16,20,15,12,16,13,28,23,21,24,30,36,31,26,17,41,23,23,19,15,19,19,21,25,20,24,18,21,19,17,20,21,19,17,13,13,13,16,15,15,19,12,9,15,7,19,10,16,5,7,7,6,4,2,7,6,3,3,3,1,0,1,0,0,0,0,0
"E01006620",2011,"Liverpool 021C","Total",1417,8,11,12,7,12,15,18,9,17,9,16,22,21,15,16,12,16,17,15,16,14,13,21,14,12,11,18,14,13,14,8,11,9,19,18,6,13,12,20,7,20,15,27,16,19,26,18,17,19,17,12,24,27,31,19,22,15,12,25,22,19,26,20,24,26,18,19,18,18,21,18,17,14,15,14,14,16,12,9,9,14,10,12,9,13,14,10,12,3,6,5,3,1,3,0,0,0,0,0,1,0
"E01006621",2011,"Liverpool 021D","Total",1468,9,11,12,9,11,14,11,17,9,17,16,17,16,16,16,18,22,17,24,19,20,20,17,22,15,18,16,16,14,14,9,17,9,12,24,18,11,8,12,13,17,22,16,15,27,13,16,30,25,24,26,17,28,30,25,25,26,19,21,29,24,14,28,31,28,18,14,23,10,16,13,11,14,18,23,13,9,8,11,12,15,10,7,6,10,4,4,5,3,3,2,0,0,0,1,3,0,0,0,0,0
