"lsoa11cd","date","lsoa11nm","Rural Urban","Household Lifestage: All categories: Household lifestage; measures: Value","Household Lifestage: Age of HRP under 35: Total; measures: Value","Household Lifestage: Age of HRP under 35: One person household; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Total; measures: Value","Household Lifestage: Age of HRP 35 to 54: One person household; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Total; measures: Value","Household Lifestage: Age of HRP 55 to 64: One person household; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Total; measures: Value","Household Lifestage: Age of HRP 65 and over: One person household; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: With dependent children; measures: Value"
"E01006759",2011,"Liverpool 028D","Total",460,122,56,25,41,190,57,45,88,71,26,35,10,77,41,36,0
"E01006760",2011,"Liverpool 028E","Total",826,318,192,84,42,315,182,55,78,87,54,29,4,106,70,34,2
"E01006761",2011,"Liverpool 020B","Total",793,166,72,25,69,336,157,71,108,117,56,51,10,174,98,73,3
"E01006762",2011,"Liverpool 015E","Total",725,129,41,15,73,278,59,77,142,140,46,77,17,178,80,96,2
"E01006763",2011,"Liverpool 020C","Total",652,155,43,33,79,263,77,68,118,88,25,54,9,146,72,72,2
"E01006764",2011,"Liverpool 020D","Total",667,203,93,44,66,251,81,45,125,102,38,53,11,111,47,63,1
"E01006765",2011,"Liverpool 020E","Total",659,104,33,20,51,296,84,70,142,103,41,58,4,156,85,69,2
"E01006766",2011,"Liverpool 019E","Total",574,164,62,18,84,245,89,50,106,72,32,36,4,93,49,42,2
"E01006767",2011,"Liverpool 019F","Total",779,259,78,65,116,311,104,75,132,90,48,36,6,119,64,55,0
"E01006768",2011,"Liverpool 020F","Total",587,133,76,27,30,262,95,71,96,95,26,57,12,97,37,59,1
"E01006769",2011,"Liverpool 040B","Total",712,114,54,8,52,217,87,48,82,107,61,40,6,274,199,73,2
"E01006770",2011,"Liverpool 040C","Total",445,64,13,7,44,158,43,33,82,77,27,45,5,146,77,65,4
"E01006771",2011,"Liverpool 040D","Total",694,88,27,12,49,245,64,58,123,131,64,59,8,230,141,85,4
"E01006772",2011,"Liverpool 040E","Total",480,44,16,7,21,181,37,57,87,116,34,73,9,139,81,56,2
"E01006773",2011,"Liverpool 036D","Total",554,62,13,25,24,238,30,63,145,110,23,78,9,144,48,94,2
"E01006774",2011,"Liverpool 036E","Total",552,68,9,23,36,253,33,69,151,106,20,73,13,125,62,62,1
"E01006775",2011,"Liverpool 040F","Total",556,59,11,6,42,205,44,70,91,108,28,69,11,184,82,97,5
"E01006776",2011,"Liverpool 022B","Total",844,152,68,42,42,307,92,90,125,151,72,71,8,234,154,76,4
"E01006778",2011,"Liverpool 014E","Total",1124,266,93,69,104,422,167,105,150,215,104,98,13,221,132,83,6
"E01006779",2011,"Liverpool 022D","Total",902,161,43,36,82,309,69,91,149,166,62,80,24,266,160,94,12
"E01006780",2011,"Liverpool 002D","Total",619,103,22,30,51,254,54,76,124,102,35,55,12,160,80,78,2
"E01006781",2011,"Liverpool 003A","Total",600,71,18,16,37,277,56,80,141,127,29,88,10,125,60,62,3
"E01006782",2011,"Liverpool 003B","Total",691,129,48,27,54,319,109,76,134,110,35,67,8,133,79,53,1
"E01006783",2011,"Liverpool 002E","Total",645,133,33,28,72,262,61,65,136,115,32,73,10,135,73,59,3
"E01006784",2011,"Liverpool 003C","Total",586,135,54,28,53,258,75,64,119,89,23,61,5,104,57,47,0
"E01006785",2011,"Liverpool 003D","Total",781,198,66,57,75,287,88,59,140,117,34,75,8,179,87,88,4
"E01006786",2011,"Liverpool 003E","Total",764,124,50,29,45,343,78,87,178,139,42,88,9,158,67,90,1
"E01006787",2011,"Liverpool 006A","Total",691,190,102,44,44,319,128,56,135,97,39,49,9,85,43,39,3
"E01006788",2011,"Liverpool 006B","Total",681,125,16,34,75,301,36,80,185,102,23,67,12,153,62,88,3
"E01006790",2011,"Liverpool 006C","Total",801,225,68,36,121,313,137,61,115,100,37,56,7,163,108,55,0
"E01006791",2011,"Liverpool 006D","Total",873,181,83,24,74,304,136,69,99,166,72,83,11,222,127,94,1
"E01006792",2011,"Liverpool 046A","Total",557,19,0,9,10,193,22,51,120,106,16,75,15,239,100,137,2
"E01006793",2011,"Liverpool 051A","Total",759,142,56,38,48,241,90,54,97,133,57,67,9,243,134,108,1
"E01006794",2011,"Liverpool 046B","Total",711,92,38,23,31,255,64,64,127,142,37,91,14,222,85,135,2
"E01006795",2011,"Liverpool 051B","Total",628,72,24,22,26,255,63,73,119,131,39,80,12,170,89,81,0
"E01006796",2011,"Liverpool 047E","Total",581,29,5,13,11,214,18,41,155,133,11,103,19,205,71,131,3
"E01006797",2011,"Liverpool 051C","Total",707,113,47,18,48,302,106,75,121,102,43,49,10,190,101,89,0
"E01006798",2011,"Liverpool 051D","Total",609,64,15,26,23,223,49,67,107,139,45,83,11,183,74,107,2
"E01006799",2011,"Liverpool 051E","Total",1145,139,73,33,33,295,148,62,85,233,147,84,2,478,351,124,3
"E01006800",2011,"Liverpool 046C","Total",679,62,27,14,21,188,56,47,85,115,37,69,9,314,137,177,0
"E01006801",2011,"Liverpool 046D","Total",609,50,9,24,17,175,32,59,84,135,24,101,10,249,106,143,0
"E01032505",2011,"Liverpool 050F","Total",563,100,28,22,50,228,56,62,110,104,30,67,7,131,68,63,0
"E01032506",2011,"Liverpool 050G","Total",656,180,60,70,50,247,98,61,88,97,30,61,6,132,72,58,2
"E01032507",2011,"Liverpool 050H","Total",666,224,57,130,37,257,69,88,100,83,26,50,7,102,43,58,1
"E01032508",2011,"Liverpool 027G","Total",847,206,94,43,69,337,135,64,138,129,68,49,12,175,102,71,2
"E01032509",2011,"Liverpool 027H","Total",665,201,63,32,106,251,84,55,112,80,33,42,5,133,67,65,1
"E01032510",2011,"Liverpool 008F","Total",776,215,83,45,87,300,64,80,156,108,46,56,6,153,69,83,1
"E01032511",2011,"Liverpool 008G","Total",616,110,32,17,61,216,62,58,96,163,44,113,6,127,61,64,2
"E01033747",2011,"Liverpool 018F","Total",496,105,35,4,66,171,73,33,65,92,47,38,7,128,78,46,4
"E01033748",2011,"Liverpool 050I","Total",772,494,209,249,36,204,116,58,30,47,29,18,0,27,15,12,0
"E01033749",2011,"Liverpool 042F","Total",1039,985,951,22,12,31,14,5,12,13,3,9,1,10,5,4,1
"E01033750",2011,"Liverpool 061A","Total",905,493,237,230,26,312,214,64,34,67,36,29,2,33,17,16,0
"E01033751",2011,"Liverpool 062A","Total",603,248,115,116,17,211,104,62,45,83,47,31,5,61,47,12,2
"E01033752",2011,"Liverpool 062B","Total",790,573,296,259,18,176,122,42,12,36,26,10,0,5,4,1,0
"E01033753",2011,"Liverpool 062C","Total",714,524,289,220,15,161,115,38,8,21,13,7,1,8,6,2,0
"E01033754",2011,"Liverpool 061B","Total",838,503,218,271,14,162,80,38,44,83,48,34,1,90,50,39,1
"E01033755",2011,"Liverpool 062D","Total",675,514,230,266,18,136,93,32,11,17,12,5,0,8,6,2,0
"E01033756",2011,"Liverpool 061C","Total",733,526,280,233,13,137,94,30,13,50,30,18,2,20,10,10,0
"E01033757",2011,"Liverpool 037E","Total",715,503,392,92,19,152,112,21,19,38,29,9,0,22,15,6,1
"E01033758",2011,"Liverpool 060B","Total",475,325,207,105,13,89,63,8,18,38,27,8,3,23,15,8,0
"E01033759",2011,"Liverpool 010F","Total",480,121,31,19,71,163,25,50,88,74,21,46,7,122,65,55,2
"E01033760",2011,"Liverpool 060C","Total",529,407,242,160,5,96,68,22,6,19,15,3,1,7,5,2,0
"E01033761",2011,"Liverpool 060D","Total",832,710,333,368,9,109,73,28,8,7,6,1,0,6,3,3,0
"E01033762",2011,"Liverpool 060E","Total",456,306,176,124,6,70,44,18,8,34,24,7,3,46,38,7,1
"E01033763",2011,"Liverpool 031G","Total",820,242,149,63,30,241,141,46,54,139,77,55,7,198,140,53,5
"E01033764",2011,"Liverpool 022E","Total",1172,205,91,35,79,389,179,84,126,250,140,90,20,328,197,123,8
"E01033765",2011,"Liverpool 061D","Total",659,159,65,35,59,264,101,65,98,113,48,57,8,123,68,50,5
"E01033766",2011,"Liverpool 042G","Total",424,173,31,126,16,135,28,46,61,53,17,33,3,63,28,35,0
"E01033767",2011,"Liverpool 050J","Total",562,180,83,29,68,193,72,48,73,81,41,33,7,108,65,41,2
"E01033768",2011,"Liverpool 037F","Total",835,354,239,90,25,343,249,44,50,79,61,15,3,59,50,9,0
