"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"E01006780",2011,"Liverpool 002D","Total",1196,309,481,147,327,215,63,144,142,105,50,120,194,8
"E01006781",2011,"Liverpool 003A","Total",1223,284,446,147,416,207,93,174,173,139,54,141,203,12
"E01006782",2011,"Liverpool 003B","Total",1280,332,478,176,347,261,74,142,190,126,53,114,195,20
"E01006783",2011,"Liverpool 002E","Total",1213,336,445,150,321,260,57,128,170,124,58,110,203,17
"E01006784",2011,"Liverpool 003C","Total",1088,224,421,138,356,274,55,162,182,131,44,107,206,7
"E01006785",2011,"Liverpool 003D","Total",1438,374,528,189,385,275,74,198,180,178,53,136,231,41
"E01006786",2011,"Liverpool 003E","Total",1458,347,559,165,415,272,118,181,181,160,61,161,242,23
"E01006787",2011,"Liverpool 006A","Total",2036,678,616,358,385,433,104,165,224,142,58,134,309,105
"E01006788",2011,"Liverpool 006B","Total",1404,371,481,199,398,293,92,140,206,122,64,127,185,36
"E01006790",2011,"Liverpool 006C","Total",1276,492,391,152,241,247,54,93,148,69,33,84,141,23
"E01006791",2011,"Liverpool 006D","Total",1411,620,369,135,233,230,62,82,131,74,32,82,164,52
"E01006792",2011,"Liverpool 046A","Total",1153,164,389,62,545,139,82,327,127,346,73,333,179,23
"E01006793",2011,"Liverpool 051A","Total",1253,288,391,106,465,183,70,294,151,275,64,241,196,41
"E01006794",2011,"Liverpool 046B","Total",1349,252,393,76,612,167,88,366,133,354,75,306,216,36
"E01006795",2011,"Liverpool 051B","Total",1183,188,421,86,578,140,80,336,129,344,69,276,216,31
"E01006796",2011,"Liverpool 047E","Total",1304,158,420,57,716,123,58,460,100,452,73,414,190,60
"E01006797",2011,"Liverpool 051C","Total",1247,390,405,127,343,202,73,176,152,162,46,123,176,14
"E01006798",2011,"Liverpool 051D","Total",1215,218,411,88,525,178,101,286,149,276,68,227,209,30
"E01006799",2011,"Liverpool 051E","Total",1660,671,390,114,468,173,89,267,147,280,57,237,215,28
"E01006800",2011,"Liverpool 046C","Total",1246,301,392,72,408,175,127,208,145,187,58,222,212,43
"E01006801",2011,"Liverpool 046D","Total",1202,304,351,95,380,159,111,196,123,177,51,185,205,15
"E01032505",2011,"Liverpool 050F","Total",1087,315,367,105,313,155,59,167,112,156,43,128,165,48
"E01032506",2011,"Liverpool 050G","Total",1217,378,370,104,379,172,41,259,138,259,55,141,173,47
"E01032507",2011,"Liverpool 050H","Total",1339,264,460,121,642,207,51,442,178,438,52,218,189,53
"E01032508",2011,"Liverpool 027G","Total",1408,567,420,159,267,245,42,134,146,95,48,85,131,49
"E01032509",2011,"Liverpool 027H","Total",1139,391,364,143,242,233,37,123,137,114,27,80,150,33
"E01032510",2011,"Liverpool 008F","Total",1461,448,497,222,348,300,85,150,202,135,41,125,214,29
"E01032511",2011,"Liverpool 008G","Total",1144,405,386,129,210,187,80,102,120,91,61,66,184,21
"E01033747",2011,"Liverpool 018F","Total",822,428,193,73,115,105,22,41,52,40,6,25,55,33
"E01033748",2011,"Liverpool 050I","Total",1188,100,456,141,616,196,50,498,140,537,59,222,179,93
"E01033749",2011,"Liverpool 042F","Total",1120,32,497,53,931,76,4,884,60,116,7,35,102,69
"E01033750",2011,"Liverpool 061A","Total",1373,82,459,105,772,174,69,592,162,679,87,335,253,159
"E01033751",2011,"Liverpool 062A","Total",1776,215,647,103,1037,190,38,826,224,370,56,191,200,162
"E01033752",2011,"Liverpool 062B","Total",1161,38,430,106,724,146,31,603,118,619,57,234,183,182
"E01033753",2011,"Liverpool 062C","Total",1023,29,364,90,601,114,30,507,77,526,37,227,157,165
"E01033754",2011,"Liverpool 061B","Total",1363,216,446,111,642,154,51,527,139,520,50,182,196,136
"E01033755",2011,"Liverpool 062D","Total",1048,34,375,95,625,114,19,516,133,548,57,196,166,167
"E01033756",2011,"Liverpool 061C","Total",1147,55,393,85,618,101,32,519,91,528,39,193,144,222
"E01033757",2011,"Liverpool 037E","Total",971,114,290,55,432,85,14,375,76,257,34,68,89,183
"E01033758",2011,"Liverpool 060B","Total",1683,165,482,92,759,128,14,712,117,369,33,50,93,377
"E01033759",2011,"Liverpool 010F","Total",886,353,250,106,191,170,27,65,91,62,29,63,123,27
"E01033760",2011,"Liverpool 060C","Total",2100,66,810,122,1245,178,26,1109,181,368,53,73,164,350
"E01033761",2011,"Liverpool 060D","Total",1352,41,509,100,815,131,17,699,125,646,49,179,162,198
"E01033762",2011,"Liverpool 060E","Total",1772,110,629,117,1145,177,23,974,191,258,39,93,154,145
"E01033763",2011,"Liverpool 031G","Total",1400,579,338,115,334,154,41,226,106,155,13,62,116,111
"E01033764",2011,"Liverpool 022E","Total",1847,1009,356,162,243,188,48,115,125,118,33,70,182,63
"E01033765",2011,"Liverpool 061D","Total",1080,426,297,119,269,165,43,158,100,167,39,97,142,52
"E01033766",2011,"Liverpool 042G","Total",961,131,343,71,590,136,27,459,84,314,40,133,140,22
"E01033767",2011,"Liverpool 050J","Total",879,343,267,110,151,176,24,94,85,106,23,55,80,40
"E01033768",2011,"Liverpool 037F","Total",1130,200,379,112,491,182,21,375,162,351,68,120,167,80
